# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.401020815150e-10       5.530388251543e-15       3.979250544516e-13       0.000000000000e+00       8.337566017926e-09       4.719105434057e-10      -2.111622627365e-12 
    3       1.322631935588e-10       7.538738764134e-15       4.602018402397e-13       0.000000000000e+00       5.112636570693e-09       3.366805967606e-10      -1.661906861121e-12 
    4       1.246224625736e-10       6.955141683499e-15       4.413370553922e-13       0.000000000000e+00       3.550862254440e-09       2.559735649213e-10      -1.144944681230e-12 
    5       1.187730172069e-10       4.957331883276e-15       3.837706131082e-13       0.000000000000e+00       2.650257390080e-09       2.027272660285e-10      -6.895218224280e-13 
    6       1.146420022738e-10       2.918083617613e-15       3.136967609231e-13       0.000000000000e+00       2.070591671116e-09       1.652645351572e-10      -3.353603112288e-13 
    7       1.119310822397e-10       1.564779993989e-15       2.473996444268e-13       0.000000000000e+00       1.670957701364e-09       1.377515803289e-10      -9.153495297250e-14 
    8       1.102490493842e-10       9.245402833844e-16       1.931882419087e-13       0.000000000000e+00       1.381434699862e-09       1.168416698349e-10       5.076773033068e-14 
    9       1.093375232569e-10       6.959415597141e-16       1.542222824538e-13       0.000000000000e+00       1.163625690994e-09       1.005055670390e-10       1.107997987773e-13 
   10       1.090253177160e-10       5.990138013464e-16       1.301609457441e-13       0.000000000000e+00       9.950618447362e-10       8.751468783761e-11       1.127747226224e-13 
   11       1.091720877803e-10       5.129564414507e-16       1.186559472715e-13       0.000000000000e+00       8.519832468512e-10       7.778442065735e-11       8.149116300951e-14 
   12       1.096415070644e-10       4.363601872985e-16       1.165262605329e-13       0.000000000000e+00       7.457213334363e-10       6.890213699036e-11       3.746558574800e-14 
   13       1.103995721423e-10       3.957517689797e-16       1.204864520151e-13       0.000000000000e+00       6.583639451012e-10       6.160160815527e-11      -3.426316596180e-15 
   14       1.113555493164e-10       3.942170182046e-16       1.276561878766e-13       0.000000000000e+00       5.855845176236e-10       5.545074191363e-11      -3.232428599894e-14 
   15       1.124618257254e-10       4.142999725755e-16       1.360245019519e-13       0.000000000000e+00       5.242470028752e-10       5.003201253773e-11      -4.645294365950e-14 
