# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.401025835189e-10       5.530646996958e-15       3.979250500026e-13       2.587453699501e-19       8.337566017926e-09       4.719105434057e-10      -2.111622627365e-12 
    3       1.322641953099e-10       7.539256373871e-15       4.602018204080e-13       5.176092933362e-19       5.112636570693e-09       3.366805967606e-10      -1.661906861121e-12 
    4       1.246241272023e-10       6.956004628299e-15       4.413369983912e-13       8.629426234014e-19       3.550862254440e-09       2.559735649213e-10      -1.144944681230e-12 
    5       1.187755049956e-10       4.958626785925e-15       3.837704832073e-13       1.294895222915e-18       2.650257390080e-09       2.027272660285e-10      -6.895218224280e-13 
    6       1.146454700783e-10       2.919897285362e-15       3.136965053883e-13       1.813647583553e-18       2.070591671116e-09       1.652645351572e-10      -3.353603112288e-13 
    7       1.119356829938e-10       1.567199447267e-15       2.473991907233e-13       2.419406610648e-18       1.670957701364e-09       1.377515803289e-10      -9.153495297250e-14 
    8       1.102549316956e-10       9.276527801341e-16       1.931874952026e-13       3.112400890626e-18       1.381434699862e-09       1.168416698349e-10       5.076773033068e-14 
    9       1.093448311028e-10       6.998346146830e-16       1.542211234436e-13       3.892875598136e-18       1.163625690994e-09       1.005055670390e-10       1.107997987773e-13 
   10       1.090341902408e-10       6.037751997312e-16       1.301592288394e-13       4.761087209987e-18       9.950618447362e-10       8.751468783761e-11       1.127747226224e-13 
   11       1.091826591956e-10       5.186742463631e-16       1.186534991326e-13       5.717298196856e-18       8.519832468512e-10       7.778442065735e-11       8.149116300951e-14 
   12       1.096539066480e-10       4.431227405999e-16       1.165228789727e-13       6.761771861295e-18       7.457213334363e-10       6.890213699036e-11       3.746558574800e-14 
   13       1.104139243300e-10       4.036476851395e-16       1.204819052592e-13       7.894767481841e-18       6.583639451012e-10       6.160160815527e-11      -3.426316596180e-15 
   14       1.113719738762e-10       4.033351709587e-16       1.276502141680e-13       9.116535908530e-18       5.855845176236e-10       5.545074191363e-11      -3.232428599894e-14 
   15       1.124804380026e-10       4.247294743001e-16       1.360168094834e-13       1.042731573533e-17       5.242470028752e-10       5.003201253773e-11      -4.645294365950e-14 
