# Matter power spectrum P(k) at redshift z=0.35
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       3.220473039119e+01 
       2.312703140351e-05       6.912274041865e+01 
       3.580220203963e-05       1.054603510324e+02 
       4.855352787053e-05       1.415767510235e+02 
       6.141433211936e-05       1.776803503029e+02 
       7.441875102904e-05       2.139292258522e+02 
       8.760202852808e-05       2.504596160158e+02 
       1.010008235465e-04       2.873976581883e+02 
       1.146535337898e-04       3.248654426165e+02 
       1.286006398104e-04       3.629846846799e+02 
       1.428850732267e-04       4.018457677972e+02 
       1.575526129020e-04       4.416367203544e+02 
       1.726523127585e-04       4.824641867376e+02 
       1.882369646229e-04       5.244694964527e+02 
       2.043635989836e-04       5.678029136921e+02 
       2.210940257026e-04       6.126251016051e+02 
       2.384954154191e-04       6.591086127235e+02 
       2.566409204418e-04       7.074393817935e+02 
       2.756103311382e-04       7.578182372552e+02 
       2.954907599292e-04       8.104623985417e+02 
       3.163773396783e-04       8.656069276159e+02 
       3.383739161997e-04       9.235060765934e+02 
       3.615937054699e-04       9.844344465257e+02 
       3.861598746494e-04       1.048687850938e+03 
       4.122059921309e-04       1.116583729132e+03 
       4.398762757783e-04       1.188460940299e+03 
       4.693255511264e-04       1.264678691579e+03 
       5.007188142551e-04       1.345614371186e+03 
       5.342302801493e-04       1.431659972582e+03 
       5.700417908375e-04       1.523216851219e+03 
       6.083404640704e-04       1.620688536566e+03 
       6.493154893013e-04       1.724471464543e+03 
       6.931540295049e-04       1.834943587960e+03 
       7.400362688145e-04       1.952451100588e+03 
       7.901297556666e-04       2.077293764173e+03 
       8.435833195405e-04       2.209709651962e+03 
       9.005209670199e-04       2.349860445249e+03 
       9.610362618295e-04       2.497818586032e+03 
       1.025187732878e-03       2.653557674969e+03 
       1.092995810025e-03       2.816947300285e+03 
       1.164441652253e-03       2.987753116983e+03 
       1.239468023948e-03       3.165615680027e+03 
       1.317982131218e-03       3.350125961997e+03 
       1.365374112507e-03       3.460707025680e+03 
       1.399860102217e-03       3.540801251653e+03 
       1.484952629637e-03       3.737091517500e+03 
       1.573091217505e-03       3.938409180533e+03 
       1.664094490714e-03       4.144147598629e+03 
       1.757774114867e-03       4.353696152344e+03 
       1.853940004620e-03       4.566455163275e+03 
       1.952404638443e-03       4.781845905896e+03 
       2.052986422001e-03       4.999318848458e+03 
       2.155512137086e-03       5.218359419530e+03 
       2.259818574702e-03       5.438490687785e+03 
       2.365753482517e-03       5.659276025811e+03 
       2.473175965450e-03       5.880316717248e+03 
       2.581956471182e-03       6.101255136258e+03 
       2.691976476543e-03       6.321767716291e+03 
       2.803127971240e-03       6.541566189079e+03 
       2.915312815527e-03       6.760394404356e+03 
       3.028442030286e-03       6.978023806438e+03 
       3.142435062419e-03       7.194254974066e+03 
       3.257219055803e-03       7.408908504509e+03 
       3.372728148150e-03       7.621829982400e+03 
       3.488902806543e-03       7.832881436947e+03 
       3.605689208915e-03       8.041945987609e+03 
       3.723038674752e-03       8.248917444763e+03 
       3.840907145565e-03       8.453706487443e+03 
       3.959254713861e-03       8.656235544892e+03 
       4.078045198199e-03       8.856437227164e+03 
       4.197245761236e-03       9.054256331668e+03 
       4.316826567374e-03       9.249642024794e+03 
       4.436760476516e-03       9.442557141843e+03 
       4.557022770484e-03       9.632967726335e+03 
       4.677590908857e-03       9.820843533377e+03 
       4.798444311143e-03       1.000616760962e+04 
       4.919564162495e-03       1.018892003819e+04 
       5.040933240388e-03       1.036909072437e+04 
       5.162535759947e-03       1.054667104068e+04 
       5.284357235852e-03       1.072165293937e+04 
       5.406384358951e-03       1.089403810274e+04 
       5.528604885928e-03       1.106382208800e+04 
       5.651007540563e-03       1.123101184088e+04 
       5.773581925274e-03       1.139561399640e+04 
       5.896318441787e-03       1.155763086939e+04 
       6.019208219924e-03       1.171707287640e+04 
       6.142243053592e-03       1.187395229940e+04 
       6.265415343199e-03       1.202827491435e+04 
       6.388718043770e-03       1.218005899947e+04 
       6.512144618156e-03       1.232931909954e+04 
       6.635688994790e-03       1.247606602806e+04 
       6.759345529484e-03       1.262031644812e+04 
       6.883108970869e-03       1.276209036401e+04 
       7.006974429057e-03       1.290139642648e+04 
       7.130937347233e-03       1.303826002477e+04 
       7.254993475829e-03       1.317269874466e+04 
       7.379138849064e-03       1.330472944257e+04 
       7.503369763566e-03       1.343436268030e+04 
       7.627682758903e-03       1.356163417782e+04 
       7.752074599819e-03       1.368654612524e+04 
       7.876542260001e-03       1.380911860466e+04 
       8.001082907249e-03       1.392938208783e+04 
       8.125693889895e-03       1.404735902277e+04 
       8.250372724364e-03       1.416306055861e+04 
       8.375117083770e-03       1.427650224760e+04 
       8.499924787441e-03       1.438771786423e+04 
       8.624793791300e-03       1.449671632056e+04 
       8.749722179018e-03       1.460352050392e+04 
       8.874708153873e-03       1.470814757384e+04 
       8.999750031245e-03       1.481061702761e+04 
       9.124846231701e-03       1.491096724733e+04 
       9.249995274615e-03       1.500919865658e+04 
       9.375195772273e-03       1.510533482674e+04 
       9.500446424428e-03       1.519940085025e+04 
       9.625746013265e-03       1.529140728869e+04 
       9.751093398737e-03       1.538138326568e+04 
       9.876487514253e-03       1.546934693217e+04 
       1.000192736268e-02       1.555531363590e+04 
       1.012741201262e-02       1.563930341208e+04 
       1.025294059501e-02       1.572133381934e+04 
       1.037851229988e-02       1.580143795783e+04 
       1.050412637342e-02       1.587961047221e+04 
       1.062978211522e-02       1.595589216511e+04 
       1.075547887571e-02       1.603029182781e+04 
       1.088121605378e-02       1.610283170545e+04 
       1.100699309458e-02       1.617353346488e+04 
       1.113280948744e-02       1.624240397100e+04 
       1.125866476396e-02       1.630947678796e+04 
       1.138455849626e-02       1.637475647774e+04 
       1.151049029527e-02       1.643826878169e+04 
       1.163645980924e-02       1.650003401548e+04 
       1.176246672226e-02       1.656006470340e+04 
       1.188851075295e-02       1.661838296201e+04 
       1.201459165321e-02       1.667500243486e+04 
       1.214070920707e-02       1.672994195472e+04 
