# Matter power spectrum P(k) at redshift z=1
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       1.732786632866e+01 
       2.312703140351e-05       3.719147243462e+01 
       3.580220203963e-05       5.674223264006e+01 
       4.855352787053e-05       7.617311538018e+01 
       6.141433211936e-05       9.559596434150e+01 
       7.441875102904e-05       1.150955420271e+02 
       8.760202852808e-05       1.347448567157e+02 
       1.010008235465e-04       1.546114841340e+02 
       1.146535337898e-04       1.747608186189e+02 
       1.286006398104e-04       1.952580517210e+02 
       1.428850732267e-04       2.161695536014e+02 
       1.575526129020e-04       2.375639491369e+02 
       1.726523127585e-04       2.595130416116e+02 
       1.882369646229e-04       2.820926564066e+02 
       2.043635989836e-04       3.053834546587e+02 
       2.210940257026e-04       3.294717372684e+02 
       2.384954154191e-04       3.544502570515e+02 
       2.566409204418e-04       3.804190412193e+02 
       2.756103311382e-04       4.074862234106e+02 
       2.954907599292e-04       4.357688728946e+02 
       3.163773396783e-04       4.653938017947e+02 
       3.383739161997e-04       4.964983174358e+02 
       3.615937054699e-04       5.292308758189e+02 
       3.861598746494e-04       5.637515741913e+02 
       4.122059921309e-04       6.002323995768e+02 
       4.398762757783e-04       6.388571364695e+02 
       4.693255511264e-04       6.798207994329e+02 
       5.007188142551e-04       7.233284597298e+02 
       5.342302801493e-04       7.695932965860e+02 
       5.700417908375e-04       8.188337247752e+02 
       6.083404640704e-04       8.712694519347e+02 
       6.493154893013e-04       9.271163904690e+02 
       6.931540295049e-04       9.865804075937e+02 
       7.400362688145e-04       1.049850054075e+03 
       7.901297556666e-04       1.117088545144e+03 
       8.435833195405e-04       1.188425459457e+03 
       9.005209670199e-04       1.263948778480e+03 
       9.610362618295e-04       1.343697991754e+03 
       1.025187732878e-03       1.427659009629e+03 
       1.092995810025e-03       1.515761499832e+03 
       1.164441652253e-03       1.607879065661e+03 
       1.239468023948e-03       1.703817942936e+03 
       1.317982131218e-03       1.803357681857e+03 
       1.365374112507e-03       1.863020863875e+03 
       1.399860102217e-03       1.906238138364e+03 
       1.484952629637e-03       2.012162790298e+03 
       1.573091217505e-03       2.120814692599e+03 
       1.664094490714e-03       2.231866420814e+03 
       1.757774114867e-03       2.344988217247e+03 
       1.853940004620e-03       2.459856245795e+03 
       1.952404638443e-03       2.576158098736e+03 
       2.052986422001e-03       2.693597334185e+03 
       2.155512137086e-03       2.811896568007e+03 
       2.259818574702e-03       2.930798819115e+03 
       2.365753482517e-03       3.050068815575e+03 
       2.473175965450e-03       3.169491619876e+03 
       2.581956471182e-03       3.288874355540e+03 
       2.691976476543e-03       3.408042434705e+03 
       2.803127971240e-03       3.526840327255e+03 
       2.915312815527e-03       3.645129898400e+03 
       3.028442030286e-03       3.762787900532e+03 
       3.142435062419e-03       3.879706791166e+03 
       3.257219055803e-03       3.995789769894e+03 
       3.372728148150e-03       4.110953447480e+03 
