# Matter power spectrum P(k) at redshift z=0
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       4.722543878326e+01 
       2.312703140351e-05       1.012207715624e+02 
       3.580220203963e-05       1.543169737195e+02 
       4.855352787053e-05       2.070632395033e+02 
       6.141433211936e-05       2.597758079359e+02 
       7.441875102904e-05       3.126930435954e+02 
       8.760202852808e-05       3.660193596935e+02 
       1.010008235465e-04       4.199432507180e+02 
       1.146535337898e-04       4.746465433057e+02 
       1.286006398104e-04       5.303099792863e+02 
       1.428850732267e-04       5.870511950657e+02 
       1.575526129020e-04       6.451771423198e+02 
       1.726523127585e-04       7.048315399694e+02 
       1.882369646229e-04       7.662221055281e+02 
       2.043635989836e-04       8.295691100328e+02 
       2.210940257026e-04       8.951075134679e+02 
       2.384954154191e-04       9.630890047620e+02 
       2.566409204418e-04       1.033784119051e+03 
       2.756103311382e-04       1.107484307439e+03 
       2.954907599292e-04       1.184503985172e+03 
       3.163773396783e-04       1.265182522661e+03 
       3.383739161997e-04       1.349886058226e+03 
       3.615937054699e-04       1.439009040173e+03 
       3.861598746494e-04       1.532975373552e+03 
       4.122059921309e-04       1.632238901207e+03 
       4.398762757783e-04       1.737283066079e+03 
       4.693255511264e-04       1.848619343590e+03 
       5.007188142551e-04       1.966784187255e+03 
       5.342302801493e-04       2.092334018457e+03 
       5.700417908375e-04       2.225837890678e+03 
       6.083404640704e-04       2.367867504963e+03 
       6.493154893013e-04       2.518984253046e+03 
       6.931540295049e-04       2.679723301769e+03 
       7.400362688145e-04       2.850574957517e+03 
       7.901297556666e-04       3.031963975046e+03 
       8.435833195404e-04       3.224227918970e+03 
       9.005209670199e-04       3.427596139634e+03 
       9.610362618295e-04       3.642171263738e+03 
       1.025187732878e-03       3.867915150294e+03 
       1.092995810025e-03       4.104641090200e+03 
       1.164441652253e-03       4.352013628097e+03 
       1.239468023948e-03       4.609517336032e+03 
       1.317982131218e-03       4.876566244424e+03 
       1.365374112507e-03       5.036581871824e+03 
       1.399860102217e-03       5.152468313139e+03 
