# Matter power spectrum P(k) at redshift z=0.35
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       3.271773287466e+01 
       2.312703140351e-05       7.012402772702e+01 
       3.580220203963e-05       1.069038875482e+02 
       4.855352787053e-05       1.434359680668e+02 
       6.141433211936e-05       1.799375672269e+02 
       7.441875102904e-05       2.165720576102e+02 
       8.760202852808e-05       2.534793109843e+02 
       1.010008235465e-04       2.907881995973e+02 
       1.146535337898e-04       3.286230037867e+02 
       1.286006398104e-04       3.671072916641e+02 
       1.428850732267e-04       4.063665937123e+02 
       1.575526129020e-04       4.465304732006e+02 
       1.726523127585e-04       4.877342875619e+02 
       1.882369646229e-04       5.301207824952e+02 
       2.043635989836e-04       5.738416153442e+02 
       2.210940257026e-04       6.190588516172e+02 
       2.384954154191e-04       6.659464688367e+02 
       2.566409204418e-04       7.146918703500e+02 
       2.756103311382e-04       7.654974085472e+02 
       2.954907599292e-04       8.185818963945e+02 
       3.163773396783e-04       8.741820700727e+02 
       3.383739161997e-04       9.325539456577e+02 
       3.615937054699e-04       9.939739851825e+02 
       3.861598746494e-04       1.058739964727e+03 
       4.122059921309e-04       1.127171390321e+03 
       4.398762757783e-04       1.199609287093e+03 
       4.693255511264e-04       1.276415120758e+03 
       5.007188142551e-04       1.357968613748e+03 
       5.342302801493e-04       1.444664148324e+03 
       5.700417908375e-04       1.536905487505e+03 
       6.083404640704e-04       1.635098546969e+03 
       6.493154893013e-04       1.739642072780e+03 
       6.931540295049e-04       1.850916185398e+03 
       7.400362688145e-04       1.969269035053e+03 
       7.901297556666e-04       2.095002046680e+03 
       8.435833195404e-04       2.228354589469e+03 
       9.005209670199e-04       2.369489189367e+03 
       9.610362618295e-04       2.518478628190e+03 
       1.025187732878e-03       2.675296308643e+03 
       1.092995810025e-03       2.839811048523e+03 
       1.164441652253e-03       3.011787173666e+03 
       1.239468023948e-03       3.190863209820e+03 
       1.317982131218e-03       3.376627958962e+03 
       1.365374112507e-03       3.487959195803e+03 
       1.399860102217e-03       3.568596176463e+03 
       1.484952629637e-03       3.766214973740e+03 
       1.573091217505e-03       3.968894000804e+03 
       1.664094490714e-03       4.176023214683e+03 
       1.757774114867e-03       4.386989571664e+03 
       1.853940004620e-03       4.601190473276e+03 
       1.952404638443e-03       4.818044729467e+03 
       2.052986422001e-03       5.037000573298e+03 
       2.155512137086e-03       5.257541434297e+03 
       2.259818574702e-03       5.479188746404e+03 
       2.365753482517e-03       5.701503740174e+03 
       2.473175965450e-03       5.924087566387e+03 
       2.581956471182e-03       6.146579882675e+03 
       2.691976476543e-03       6.368656827606e+03 
       2.803127971240e-03       6.590029043049e+03 
       2.915312815527e-03       6.810439135098e+03 
       3.028442030286e-03       7.029657649990e+03 
       3.142435062419e-03       7.247484252103e+03 
       3.257219055803e-03       7.463738676113e+03 
       3.372728148150e-03       7.678265770969e+03 
       3.488902806543e-03       7.890926892353e+03 
       3.605689208915e-03       8.101604759699e+03 
       3.723038674752e-03       8.310192565184e+03 
       3.840907145565e-03       8.516600823022e+03 
       3.959254713861e-03       8.720751812974e+03 
       4.078045198199e-03       8.922578023216e+03 
       4.197245761236e-03       9.122023988629e+03 
       4.316826567374e-03       9.319038934454e+03 
       4.436760476516e-03       9.513585597160e+03 
       4.557022770484e-03       9.705629216159e+03 
       4.677590908857e-03       9.895141313268e+03 
       4.798444311143e-03       1.008210252895e+04 
       4.919564162495e-03       1.026649339858e+04 
       5.040933240388e-03       1.044830346997e+04 
       5.162535759947e-03       1.062752334577e+04 
       5.284357235852e-03       1.080414573136e+04 
       5.406384358951e-03       1.097817086633e+04 
       5.528604885928e-03       1.114959504561e+04 
       5.651007540563e-03       1.131842467513e+04 
       5.773581925274e-03       1.148466600145e+04 
       5.896318441787e-03       1.164832120196e+04 
       6.019208219924e-03       1.180940200627e+04 
       6.142243053592e-03       1.196791835315e+04 
       6.265415343199e-03       1.212387793999e+04 
       6.388718043770e-03       1.227729819146e+04 
       6.512144618156e-03       1.242819357504e+04 
       6.635688994790e-03       1.257657464694e+04 
       6.759345529484e-03       1.272245791551e+04 
       6.883108970869e-03       1.286586318495e+04 
       7.006974429057e-03       1.300679759732e+04 
       7.130937347233e-03       1.314528849163e+04 
       7.254993475829e-03       1.328135231100e+04 
       7.379138849064e-03       1.341500446625e+04 
       7.503369763566e-03       1.354625704905e+04 
       7.627682758903e-03       1.367514412110e+04 
       7.752074599819e-03       1.380167078851e+04 
       7.876542260001e-03       1.392585137878e+04 
       8.001082907249e-03       1.404772403385e+04 
       8.125693889895e-03       1.416730213276e+04 
       8.250372724364e-03       1.428460259756e+04 
       8.375117083770e-03       1.439964005665e+04 
       8.499924787441e-03       1.451244866161e+04 
       8.624793791300e-03       1.462303630062e+04 
       8.749722179018e-03       1.473142452860e+04 
       8.874708153873e-03       1.483763113358e+04 
       8.999750031245e-03       1.494167653462e+04 
       9.124846231701e-03       1.504359726805e+04 
       9.249995274615e-03       1.514339424220e+04 
       9.375195772273e-03       1.524109016505e+04 
       9.500446424428e-03       1.533670818871e+04 
       9.625746013265e-03       1.543026427830e+04 
       9.751093398737e-03       1.552178416707e+04 
       9.876487514253e-03       1.561128354403e+04 
       1.000192736268e-02       1.569877804392e+04 
       1.012741201262e-02       1.578429446784e+04 
       1.025294059501e-02       1.586784679270e+04 
       1.037851229988e-02       1.594945915060e+04 
       1.050412637342e-02       1.602913741610e+04 
       1.062978211522e-02       1.610691845856e+04 
       1.075547887571e-02       1.618281719058e+04 
       1.088121605378e-02       1.625684088232e+04 
       1.100699309458e-02       1.632901515603e+04 
       1.113280948744e-02       1.639935587276e+04 
       1.125866476396e-02       1.646789119954e+04 
       1.138455849626e-02       1.653462175059e+04 
       1.151049029527e-02       1.659958234370e+04 
       1.163645980924e-02       1.666278339541e+04 
       1.176246672226e-02       1.672423785003e+04 
       1.188851075295e-02       1.678397996076e+04 
       1.201459165321e-02       1.684201095609e+04 
       1.214070920707e-02       1.689835259606e+04 
       1.226686322961e-02       1.695302458291e+04 
       1.239305356596e-02       1.700604859644e+04 
       1.251928009038e-02       1.705743310794e+04 
       1.264554270538e-02       1.710720700680e+04 
       1.277184134097e-02       1.715536975104e+04 
       1.289817595385e-02       1.720195171833e+04 
       1.302454652681e-02       1.724696659508e+04 
       1.315095306802e-02       1.729042814160e+04 
       1.327739561051e-02       1.733235885332e+04 
       1.340387421161e-02       1.737276871949e+04 
       1.353038895245e-02       1.741166435640e+04 
       1.365374112507e-02       1.744816124378e+04 
       1.365693993753e-02       1.744908872104e+04 
       1.378352729429e-02       1.748502715028e+04 
       1.391015117276e-02       1.751953013639e+04 
       1.403681174522e-02       1.755258969764e+04 
       1.416350920586e-02       1.758421763641e+04 
       1.429024377057e-02       1.761445892053e+04 
       1.441701567666e-02       1.764329651687e+04 
       1.454382518265e-02       1.767076099618e+04 
       1.467067256809e-02       1.769686244352e+04 
       1.479755813344e-02       1.772161855015e+04 
       1.492448219987e-02       1.774504554539e+04 
       1.505144510923e-02       1.776716927245e+04 
       1.517844722390e-02       1.778797583167e+04 
       1.530548892679e-02       1.780752043957e+04 
       1.543257062128e-02       1.782578125457e+04 
       1.555969273119e-02       1.784279210728e+04 
       1.568685570080e-02       1.785856033405e+04 
       1.581405999491e-02       1.787310316693e+04 
       1.594130609881e-02       1.788644115428e+04 
       1.606859451845e-02       1.789858210768e+04 
       1.619592578041e-02       1.790953543995e+04 
       1.632330043209e-02       1.791932527931e+04 
       1.645071904182e-02       1.792796582101e+04 
       1.657818219894e-02       1.793546139845e+04 
       1.670569051404e-02       1.794183458066e+04 
       1.683324461908e-02       1.794709976170e+04 
       1.696084516758e-02       1.795126087564e+04 
       1.708849283487e-02       1.795433667126e+04 
       1.721618831828e-02       1.795635381059e+04 
       1.734393233738e-02       1.795730851959e+04 
       1.747172563426e-02       1.795721945186e+04 
       1.759956897380e-02       1.795610184210e+04 
       1.772746314395e-02       1.795397227782e+04 
       1.785540895603e-02       1.795082740113e+04 
       1.798340724509e-02       1.794671466147e+04 
       1.811145887023e-02       1.794161146509e+04 
       1.823956471493e-02       1.793554766463e+04 
       1.836772568748e-02       1.792853783183e+04 
       1.849594272132e-02       1.792058136264e+04 
       1.862421677549e-02       1.791171088895e+04 
       1.875254883503e-02       1.790192034858e+04 
       1.888093991143e-02       1.789123971938e+04 
       1.900939104308e-02       1.787966679770e+04 
       1.913790329576e-02       1.786721950728e+04 
       1.926647776316e-02       1.785392116961e+04 
