#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_rho_fld       19:rho_plus_p_theta_fld    20:delta_p_fld        
       8.034680091131e+01       2.044275168983e-04      -1.386104144972e+00       2.421349374376e-05       7.169631072821e-07       1.792407768205e-06       3.003081058336e-11       3.584815536411e-07      -1.039578108729e+00       2.421349374376e-05       5.838311037189e-01       6.537850727631e-01      -1.386104144972e+00       2.420475564889e-05       2.488872049233e-04      -1.039578108729e+00       2.422439329430e-05      -3.362052128244e-13       7.844794623706e-18       7.119348134122e-13 
       8.034681253030e+01       2.044275508303e-04      -1.386104125167e+00       2.421349650202e-05       7.169634261841e-07       1.792408565460e-06       3.003083391621e-11       3.584817130921e-07      -1.039578093875e+00       2.421349650203e-05       5.838311108696e-01       6.537850778083e-01      -1.386104125166e+00       2.420475840326e-05       2.488872799089e-04      -1.039578093875e+00       2.422439605695e-05      -3.362050731743e-13       7.844797689631e-18       7.119349950361e-13 
       8.034682414929e+01       2.044275847623e-04      -1.386104105361e+00       2.421349926029e-05       7.169637450862e-07       1.792409362715e-06       3.003085724907e-11       3.584818725431e-07      -1.039578079021e+00       2.421349926030e-05       5.838311180204e-01       6.537850828536e-01      -1.386104105360e+00       2.420476115764e-05       2.488873548946e-04      -1.039578079021e+00       2.422439881959e-05      -3.362049335243e-13       7.844800755556e-18       7.119351766599e-13 
       8.034694033920e+01       2.044279240826e-04      -1.386103907303e+00       2.421352684299e-05       7.169669341127e-07       1.792417335282e-06       3.003109057856e-11       3.584834670564e-07      -1.039577930477e+00       2.421352684303e-05       5.838311895272e-01       6.537851333058e-01      -1.386103907301e+00       2.420478870138e-05       2.488881047514e-04      -1.039577930479e+00       2.422442644608e-05      -3.362035370294e-13       7.844831414852e-18       7.119369928987e-13 
       8.034705652911e+01       2.044282634030e-04      -1.386103709247e+00       2.421355442570e-05       7.169701231498e-07       1.792425307875e-06       3.003132390956e-11       3.584850615749e-07      -1.039577781936e+00       2.421355442578e-05       5.838312610337e-01       6.537851837575e-01      -1.386103709244e+00       2.420481624513e-05       2.488888546091e-04      -1.039577781938e+00       2.422445407259e-05      -3.362021405436e-13       7.844862074221e-18       7.119388091388e-13 
       8.034717271902e+01       2.044286027235e-04      -1.386103511194e+00       2.421358200842e-05       7.169733121975e-07       1.792433280494e-06       3.003155724210e-11       3.584866560987e-07      -1.039577633395e+00       2.421358200854e-05       5.838313325398e-01       6.537852342087e-01      -1.386103511189e+00       2.420484378890e-05       2.488896044676e-04      -1.039577633399e+00       2.422448169911e-05      -3.362007440670e-13       7.844892733665e-18       7.119406253805e-13 
       8.034728890893e+01       2.044289420441e-04      -1.386103313142e+00       2.421360959116e-05       7.169765012556e-07       1.792441253139e-06       3.003179057616e-11       3.584882506278e-07      -1.039577484856e+00       2.421360959131e-05       5.838314040456e-01       6.537852846595e-01      -1.386103313136e+00       2.420487133268e-05       2.488903543269e-04      -1.039577484862e+00       2.422450932565e-05      -3.361993475995e-13       7.844923393183e-18       7.119424416240e-13 
       8.034845080804e+01       2.044323352575e-04      -1.386101332721e+00       2.421388541933e-05       7.170083924133e-07       1.792520981033e-06       3.003412400066e-11       3.585041962067e-07      -1.039575999541e+00       2.421388541982e-05       5.838321190830e-01       6.537857891425e-01      -1.386101332702e+00       2.420514677129e-05       2.488978529675e-04      -1.039575999559e+00       2.422478559178e-05      -3.361853834259e-13       7.845229992470e-18       7.119606041366e-13 
       8.034961270716e+01       2.044357284834e-04      -1.386099352483e+00       2.421416124891e-05       7.170402846197e-07       1.792600711549e-06       3.003645757768e-11       3.585201423099e-07      -1.039574514362e+00       2.421416124975e-05       5.838328340842e-01       6.537862935803e-01      -1.386099352450e+00       2.420542221129e-05       2.489053516933e-04      -1.039574514393e+00       2.422506185934e-05      -3.361714201641e-13       7.845536599219e-18       7.119787667963e-13 
       8.035077460627e+01       2.044391217221e-04      -1.386097372425e+00       2.421443707990e-05       7.170721778748e-07       1.792680444687e-06       3.003879130724e-11       3.585360889374e-07      -1.039573029319e+00       2.421443708109e-05       5.838335490491e-01       6.537867979729e-01      -1.386097372379e+00       2.420569765268e-05       2.489128505044e-04      -1.039573029362e+00       2.422533812832e-05      -3.361574578141e-13       7.845843213431e-18       7.119969296033e-13 
       8.035193650538e+01       2.044425149733e-04      -1.386095392549e+00       2.421471291230e-05       7.171040721786e-07       1.792760180446e-06       3.004112518934e-11       3.585520360893e-07      -1.039571544412e+00       2.421471291383e-05       5.838342639776e-01       6.537873023202e-01      -1.386095392489e+00       2.420597309548e-05       2.489203494008e-04      -1.039571544468e+00       2.422561439873e-05      -3.361434963758e-13       7.846149835105e-18       7.120150925573e-13 
       8.036110902538e+01       2.044693031687e-04      -1.386079768939e+00       2.421689049870e-05       7.173558960400e-07       1.793389740100e-06       3.005955519219e-11       3.586779480200e-07      -1.039559826705e+00       2.421689050297e-05       5.838399066502e-01       6.537912822626e-01      -1.386079768773e+00       2.420814760572e-05       2.489795518340e-04      -1.039559826861e+00       2.422779544330e-05      -3.360333109103e-13       7.848570697486e-18       7.121584837144e-13 
       8.037028154538e+01       2.044960921518e-04      -1.386064156623e+00       2.421906817293e-05       7.176077852736e-07       1.794019463184e-06       3.007799470665e-11       3.588038926368e-07      -1.039548117467e+00       2.421906817995e-05       5.838455470619e-01       6.537952593883e-01      -1.386064156349e+00       2.421032220298e-05       2.490387595807e-04      -1.039548117724e+00       2.422997657642e-05      -3.359231822218e-13       7.850992024948e-18       7.123018840350e-13 
       8.037945406537e+01       2.045228819225e-04      -1.386048555594e+00       2.422124593494e-05       7.178597398933e-07       1.794649349733e-06       3.009644373699e-11       3.589298699467e-07      -1.039536416696e+00       2.422124594471e-05       5.838511852138e-01       6.537992336988e-01      -1.386048555213e+00       2.421249688721e-05       2.490979726413e-04      -1.039536417052e+00       2.423215779802e-05      -3.358131102744e-13       7.853413817493e-18       7.124452935168e-13 
       8.038862658537e+01       2.045496724808e-04      -1.386032965846e+00       2.422342378469e-05       7.181117599134e-07       1.795279399784e-06       3.011490228750e-11       3.590558799567e-07      -1.039524724384e+00       2.422342379721e-05       5.838568211071e-01       6.538032051959e-01      -1.386032965358e+00       2.421467165837e-05       2.491571910159e-04      -1.039524724841e+00       2.423433910807e-05      -3.357030950316e-13       7.855836075126e-18       7.125887121578e-13 
       8.040751980147e+01       2.046048571599e-04      -1.386000890181e+00       2.422790991504e-05       7.186310675423e-07       1.796577668856e-06       3.015295254264e-11       3.593155337712e-07      -1.039500667636e+00       2.422790993322e-05       5.838684225977e-01       6.538113766789e-01      -1.386000889473e+00       2.421915144499e-05       2.492791835713e-04      -1.039500668299e+00       2.423883236803e-05      -3.354766682535e-13       7.860826817051e-18       7.128841494021e-13 
       8.042641301757e+01       2.046600451807e-04      -1.385968862295e+00       2.423239641706e-05       7.191506528255e-07       1.797876632064e-06       3.019104324401e-11       3.595753264128e-07      -1.039476646721e+00       2.423239644091e-05       5.838800145196e-01       6.538195362456e-01      -1.385968861366e+00       2.422363159984e-05       2.494011986747e-04      -1.039476647591e+00       2.424332600265e-05      -3.352504815796e-13       7.865819532224e-18       7.131796254781e-13 
       8.044530623367e+01       2.047152365430e-04      -1.385936882129e+00       2.423688329030e-05       7.196705158856e-07       1.799176289714e-06       3.022917442907e-11       3.598352579428e-07      -1.039452661597e+00       2.423688331983e-05       5.838915968829e-01       6.538276839106e-01      -1.385936880979e+00       2.422811212247e-05       2.495232363280e-04      -1.039452662672e+00       2.424782001150e-05      -3.350245346900e-13       7.870814220689e-18       7.134751403673e-13 
       8.046419944977e+01       2.047704312469e-04      -1.385904949627e+00       2.424137053438e-05       7.201906568446e-07       1.800476642111e-06       3.026734613526e-11       3.600953284223e-07      -1.039428712220e+00       2.424137056960e-05       5.839031696972e-01       6.538358196878e-01      -1.385904948256e+00       2.423259301249e-05       2.496452965331e-04      -1.039428713502e+00       2.425231439418e-05      -3.347988272657e-13       7.875810882489e-18       7.137706940519e-13 
