#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_rho_fld       19:rho_plus_p_theta_fld    20:delta_p_fld        
       7.001059098982e-02       1.518224216382e-07      -1.201666554382e+00       2.099105002001e-02       3.212026690155e-10       8.030066725387e-10       6.911751750795e-18       1.606013345077e-10      -9.012499157862e-01       2.099105002001e-02       6.002829311105e-01       6.998285424610e-01      -1.201666554381e+00       2.098647141985e-02       1.961448451014e-04      -9.012499157863e-01       2.100058010057e-02      -1.086252066934e-13       2.534590049222e-15       2.600680479206e-13 
       7.001060407806e-02       1.518224500251e-07      -1.201666555259e+00       2.099105394473e-02       3.212028491846e-10       8.030071229614e-10       6.911758212386e-18       1.606014245923e-10      -9.012499164442e-01       2.099105394473e-02       6.002829310381e-01       6.998285423332e-01      -1.201666555259e+00       2.098647534200e-02       1.961449183407e-04      -9.012499164445e-01       2.100058403064e-02      -1.086251901996e-13       2.534591557438e-15       2.600681540477e-13 
       7.001061716630e-02       1.518224784121e-07      -1.201666556136e+00       2.099105786945e-02       3.212030293537e-10       8.030075733844e-10       6.911764673982e-18       1.606015146769e-10      -9.012499171022e-01       2.099105786945e-02       6.002829309656e-01       6.998285422055e-01      -1.201666556136e+00       2.098647926416e-02       1.961449915799e-04      -9.012499171026e-01       2.100058796070e-02      -1.086251737059e-13       2.534593065655e-15       2.600682601750e-13 
       7.001074804871e-02       1.518227622818e-07      -1.201666564911e+00       2.099109711668e-02       3.212048310493e-10       8.030120776232e-10       6.911829290208e-18       1.606024155246e-10      -9.012499236831e-01       2.099109711668e-02       6.002829302409e-01       6.998285409277e-01      -1.201666564910e+00       2.098651848570e-02       1.961457239732e-04      -9.012499236847e-01       2.100062726137e-02      -1.086250087702e-13       2.534608147854e-15       2.600693214485e-13 
       7.001087893111e-02       1.518230461515e-07      -1.201666573685e+00       2.099113636390e-02       3.212066327516e-10       8.030165818791e-10       6.911893906919e-18       1.606033163758e-10      -9.012499302641e-01       2.099113636390e-02       6.002829295161e-01       6.998285396498e-01      -1.201666573684e+00       2.098655770725e-02       1.961464563678e-04      -9.012499302670e-01       2.100066656204e-02      -1.086248438376e-13       2.534623230114e-15       2.600703827244e-13 
       7.001100981352e-02       1.518233300212e-07      -1.201666582460e+00       2.099117561113e-02       3.212084344608e-10       8.030210861519e-10       6.911958524113e-18       1.606042172304e-10      -9.012499368452e-01       2.099117561113e-02       6.002829287913e-01       6.998285383719e-01      -1.201666582458e+00       2.098659692880e-02       1.961471887637e-04      -9.012499368493e-01       2.100070586272e-02      -1.086246789081e-13       2.534638312436e-15       2.600714440026e-13 
       7.001114069593e-02       1.518236138910e-07      -1.201666591235e+00       2.099121485836e-02       3.212102361766e-10       8.030255904415e-10       6.912023141791e-18       1.606051180883e-10      -9.012499434263e-01       2.099121485836e-02       6.002829280665e-01       6.998285370939e-01      -1.201666591232e+00       2.098663615034e-02       1.961479211611e-04      -9.012499434317e-01       2.100074516339e-02      -1.086245139816e-13       2.534653394819e-15       2.600725052831e-13 
       7.001244951999e-02       1.518264525881e-07      -1.201666678983e+00       2.099160733063e-02       3.212282537053e-10       8.030706342634e-10       6.912669345145e-18       1.606141268527e-10      -9.012500092370e-01       2.099160733063e-02       6.002829208186e-01       6.998285243151e-01      -1.201666678971e+00       2.098702836580e-02       1.961552452096e-04      -9.012500092548e-01       2.100113817012e-02      -1.086228648845e-13       2.534804222035e-15       2.600831182178e-13 
       7.001375834405e-02       1.518292912853e-07      -1.201666766729e+00       2.099199980286e-02       3.212462719073e-10       8.031156797684e-10       6.913315596820e-18       1.606231359537e-10      -9.012500750471e-01       2.099199980286e-02       6.002829135709e-01       6.998285115366e-01      -1.201666766710e+00       2.098742058120e-02       1.961625693950e-04      -9.012500750774e-01       2.100153117684e-02      -1.086212160927e-13       2.534955055405e-15       2.600937313875e-13 
       7.001506716811e-02       1.518321299825e-07      -1.201666854476e+00       2.099239227505e-02       3.212642907826e-10       8.031607269565e-10       6.913961896817e-18       1.606321453913e-10      -9.012501408567e-01       2.099239227505e-02       6.002829063232e-01       6.998284987584e-01      -1.201666854448e+00       2.098781279656e-02       1.961698937172e-04      -9.012501408995e-01       2.100192418354e-02      -1.086195676060e-13       2.535105894929e-15       2.601043447922e-13 
       7.001637599217e-02       1.518349686798e-07      -1.201666942221e+00       2.099278474720e-02       3.212823103311e-10       8.032057758277e-10       6.914608245139e-18       1.606411551655e-10      -9.012502066657e-01       2.099278474720e-02       6.002828990758e-01       6.998284859806e-01      -1.201666942185e+00       2.098820501187e-02       1.961772181762e-04      -9.012502067209e-01       2.100231719022e-02      -1.086179194246e-13       2.535256740606e-15       2.601149584319e-13 
       7.002634288025e-02       1.518565857779e-07      -1.201667610387e+00       2.099577347920e-02       3.214195539338e-10       8.035488848344e-10       6.919531868341e-18       1.607097769669e-10      -9.012507077902e-01       2.099577347920e-02       6.002828438903e-01       6.998283886883e-01      -1.201667610291e+00       2.099119178765e-02       1.962329994981e-04      -9.012507079405e-01       2.100530999336e-02      -1.086053782884e-13       2.536405654556e-15       2.601957905724e-13 
       7.003630976833e-02       1.518782028770e-07      -1.201668278508e+00       2.099876220897e-02       3.215568365854e-10       8.038920914636e-10       6.924458295317e-18       1.607784182927e-10      -9.012512088810e-01       2.099876220897e-02       6.002827887133e-01       6.998282914172e-01      -1.201668278351e+00       2.099417856066e-02       1.962887887534e-04      -9.012512091264e-01       2.100830279543e-02      -1.085928548382e-13       2.537554925448e-15       2.602766363428e-13 
       7.004627665641e-02       1.518998199771e-07      -1.201668946585e+00       2.100175093654e-02       3.216941582919e-10       8.042353957297e-10       6.929387527270e-18       1.608470791459e-10      -9.012517099389e-01       2.100175093654e-02       6.002827335443e-01       6.998281941669e-01      -1.201668946367e+00       2.099716533091e-02       1.963445859420e-04      -9.012517102794e-01       2.101129559647e-02      -1.085803490635e-13       2.538704553340e-15       2.603574957433e-13 
       7.005624354449e-02       1.519214370780e-07      -1.201669614618e+00       2.100473966190e-02       3.218315190585e-10       8.045787976463e-10       6.934319565393e-18       1.609157595293e-10      -9.012522109635e-01       2.100473966190e-02       6.002826783836e-01       6.998280969377e-01      -1.201669614339e+00       2.100015209839e-02       1.964003910639e-04      -9.012522113991e-01       2.101428839645e-02      -1.085678609537e-13       2.539854538292e-15       2.604383687742e-13 
       7.007675812213e-02       1.519659309784e-07      -1.201670989473e+00       2.101089126796e-02       3.221143679907e-10       8.052859199768e-10       6.944479883985e-18       1.610571839954e-10      -9.012532421049e-01       2.101089126796e-02       6.002825648735e-01       6.998278968794e-01      -1.201670989069e+00       2.100629967285e-02       1.965152782145e-04      -9.012532427365e-01       2.102044839285e-02      -1.085422125656e-13       2.542222645443e-15       2.606048704603e-13 
       7.009727269978e-02       1.520104248827e-07      -1.201672364143e+00       2.101704286469e-02       3.223973824731e-10       8.059934561827e-10       6.954652106414e-18       1.611986912365e-10      -9.012542731070e-01       2.101704286469e-02       6.002824513978e-01       6.998276969096e-01      -1.201672363612e+00       2.101244723562e-02       1.966301989744e-04      -9.012542739347e-01       2.102660838481e-02      -1.085166388753e-13       2.544592266053e-15       2.607714298964e-13 
       7.011778727742e-02       1.520549187909e-07      -1.201673738627e+00       2.102319445207e-02       3.226805625539e-10       8.067014063846e-10       6.964836243131e-18       1.613402812769e-10      -9.012553039700e-01       2.102319445207e-02       6.002823379567e-01       6.998274970283e-01      -1.201673737971e+00       2.101859478668e-02       1.967451533436e-04      -9.012553049940e-01       2.103276837235e-02      -1.084911397887e-13       2.546963400652e-15       2.609380470863e-13 
       7.013830185506e-02       1.520994127031e-07      -1.201675112922e+00       2.102934603004e-02       3.229639082804e-10       8.074097707010e-10       6.975032304574e-18       1.614819541402e-10      -9.012563346918e-01       2.102934603004e-02       6.002822245507e-01       6.998272972360e-01      -1.201675112141e+00       2.102474232598e-02       1.968601413219e-04      -9.012563359123e-01       2.103892835539e-02      -1.084657152124e-13       2.549336049769e-15       2.611047220334e-13 
       7.015881643270e-02       1.521439066193e-07      -1.201676487033e+00       2.103549759866e-02       3.232474197017e-10       8.081185492542e-10       6.985240301225e-18       1.616237098508e-10      -9.012573652746e-01       2.103549759866e-02       6.002821111794e-01       6.998270975321e-01      -1.201676486125e+00       2.103088985356e-02       1.969751629094e-04      -9.012573666919e-01       2.104508833399e-02      -1.084403650530e-13       2.551710213931e-15       2.612714547411e-13 
       7.024079061145e-02       1.523216998502e-07      -1.201681975985e+00       2.106007855141e-02       3.243819575356e-10       8.109548938389e-10       7.026149764871e-18       1.621909787678e-10      -9.012614819888e-01       2.106007855141e-02       6.002816585075e-01       6.998263004191e-01      -1.201681974573e+00       2.105545463516e-02       1.974351130168e-04      -9.012614841936e-01       2.106970294125e-02      -1.083398093194e-13       2.561212266972e-15       2.619382783961e-13 
       7.032276479019e-02       1.524994931441e-07      -1.201687462011e+00       2.108465935458e-02       3.255191449015e-10       8.137978622538e-10       7.067250636777e-18       1.627595724508e-10      -9.012655965080e-01       2.108465935458e-02       6.002812063877e-01       6.998255047095e-01      -1.201687460092e+00       2.108001922946e-02       1.978955997617e-04      -9.012655995031e-01       2.109431747754e-02      -1.082404344250e-13       2.570738553019e-15       2.626060245911e-13 
       7.040473896894e-02       1.526772865008e-07      -1.201692945158e+00       2.110924000849e-02       3.266589848849e-10       8.166474622123e-10       7.108543587664e-18       1.633294924425e-10      -9.012697088683e-01       2.110924000849e-02       6.002807548137e-01       6.998247103910e-01      -1.201692942731e+00       2.110458363671e-02       1.983566231393e-04      -9.012697126565e-01       2.111893194323e-02      -1.081422345043e-13       2.580289105627e-15       2.632746935361e-13 
