# Matter power spectrum P(k) at redshift z=0
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       4.648495023756e+01 
       2.312703140351e-05       9.977543706123e+01 
       3.580220203963e-05       1.522331791258e+02 
       4.855352787053e-05       2.043792422378e+02 
       6.141433211936e-05       2.565170092937e+02 
       7.441875102904e-05       3.088771820678e+02 
       8.760202852808e-05       3.616589024446e+02 
       1.010008235465e-04       4.150467009714e+02 
       1.146535337898e-04       4.692192207392e+02 
       1.286006398104e-04       5.243545080082e+02 
       1.428850732267e-04       5.806336788195e+02 
       1.575526129020e-04       6.382437880811e+02 
       1.726523127585e-04       6.973802296495e+02 
       1.882369646229e-04       7.582489777792e+02 
       2.043635989836e-04       8.210686398600e+02 
       2.210940257026e-04       8.860725638244e+02 
       2.384954154191e-04       9.535108642355e+02 
       2.566409204418e-04       1.023652519310e+03 
       2.756103311382e-04       1.096787434373e+03 
       2.954907599292e-04       1.173228489262e+03 
       3.163773396783e-04       1.253313534046e+03 
       3.383739161997e-04       1.337407192807e+03 
       3.615937054699e-04       1.425902440082e+03 
       3.861598746494e-04       1.519221731204e+03 
       4.122059921309e-04       1.617817555821e+03 
       4.398762757783e-04       1.722172087614e+03 
       4.693255511264e-04       1.832795690231e+03 
       5.007188142551e-04       1.950223900572e+03 
       5.342302801493e-04       2.075012492423e+03 
       5.700417908375e-04       2.207730235984e+03 
       6.083404640704e-04       2.348948955412e+03 
       6.493154893013e-04       2.499230703850e+03 
       6.931540295049e-04       2.659111943813e+03 
       7.400362688145e-04       2.829084985469e+03 
       7.901297556666e-04       3.009577412011e+03 
       8.435833195405e-04       3.200930498282e+03 
       9.005209670199e-04       3.403378207022e+03 
       9.610362618295e-04       3.617028696805e+03 
       1.025187732878e-03       3.841850191523e+03 
       1.092995810025e-03       4.077663163102e+03 
       1.164441652253e-03       4.324139867884e+03 
       1.239468023948e-03       4.580773285927e+03 
       1.317982131218e-03       4.846985640431e+03 
       1.365374112507e-03       5.006531870317e+03 
       1.399860102217e-03       5.122093129074e+03 
       1.484952629637e-03       5.405314418661e+03 
       1.573091217505e-03       5.695813162480e+03 
       1.664094490714e-03       5.992724075980e+03 
       1.757774114867e-03       6.295174521612e+03 
       1.853940004620e-03       6.602305769289e+03 
       1.952404638443e-03       6.913287673197e+03 
       2.052986422001e-03       7.227330907103e+03 
       2.155512137086e-03       7.543695587372e+03 
       2.259818574702e-03       7.861695353792e+03 
       2.365753482517e-03       8.180701265599e+03 
       2.473175965450e-03       8.500138355076e+03 
       2.581956471182e-03       8.819490286425e+03 
       2.691976476543e-03       9.138289392587e+03 
       2.803127971240e-03       9.456118668791e+03 
       2.915312815527e-03       9.772607313215e+03 
       3.028442030286e-03       1.008742428285e+04 
       3.142435062419e-03       1.040028046583e+04 
       3.257219055803e-03       1.071091547772e+04 
       3.372728148150e-03       1.101910494282e+04 
       3.488902806543e-03       1.132464814414e+04 
       3.605689208915e-03       1.162737486245e+04 
       3.723038674752e-03       1.192713040862e+04 
       3.840907145565e-03       1.222378436811e+04 
       3.959254713861e-03       1.251722330253e+04 
       4.078045198199e-03       1.280734847653e+04 
       4.197245761236e-03       1.309407879965e+04 
       4.316826567374e-03       1.337733949296e+04 
       4.436760476516e-03       1.365707564875e+04 
       4.557022770484e-03       1.393323696240e+04 
       4.677590908857e-03       1.420577845604e+04 
       4.798444311143e-03       1.447467211670e+04 
       4.919564162495e-03       1.473989234495e+04 
       5.040933240388e-03       1.500142251551e+04 
       5.162535759947e-03       1.525924811442e+04 
       5.284357235852e-03       1.551335401340e+04 
       5.406384358951e-03       1.576374566075e+04 
       5.528604885928e-03       1.601041309279e+04 
       5.651007540563e-03       1.625336561708e+04 
       5.773581925274e-03       1.649261193080e+04 
       5.896318441787e-03       1.672815377966e+04 
       6.019208219924e-03       1.696000603038e+04 
       6.142243053592e-03       1.718818527830e+04 
       6.265415343199e-03       1.741269889565e+04 
       6.388718043770e-03       1.763357243229e+04 
       6.512144618156e-03       1.785082595658e+04 
       6.635688994790e-03       1.806447402913e+04 
       6.759345529484e-03       1.827453969707e+04 
       6.883108970869e-03       1.848105152470e+04 
       7.006974429057e-03       1.868402083802e+04 
       7.130937347233e-03       1.888348318154e+04 
       7.254993475829e-03       1.907946396370e+04 
       7.379138849064e-03       1.927198618511e+04 
       7.503369763566e-03       1.946106481078e+04 
       7.627682758903e-03       1.964675061859e+04 
       7.752074599819e-03       1.982904574637e+04 
       7.876542260001e-03       2.000797888040e+04 
       8.001082907249e-03       2.018359260898e+04 
       8.125693889895e-03       2.035591881565e+04 
       8.250372724364e-03       2.052497274286e+04 
       8.375117083770e-03       2.069077633912e+04 
       8.499924787441e-03       2.085337781372e+04 
       8.624793791300e-03       2.101278951973e+04 
       8.749722179018e-03       2.116904368549e+04 
       8.874708153873e-03       2.132216445932e+04 
       8.999750031245e-03       2.147217952109e+04 
       9.124846231701e-03       2.161914335018e+04 
       9.249995274615e-03       2.176305618121e+04 
       9.375195772273e-03       2.190395135770e+04 
       9.500446424428e-03       2.204186372182e+04 
       9.625746013265e-03       2.217681043017e+04 
       9.751093398737e-03       2.230883054973e+04 
       9.876487514253e-03       2.243794985709e+04 
       1.000192736268e-02       2.256419113905e+04 
       1.012741201262e-02       2.268758222601e+04 
       1.025294059501e-02       2.280814738655e+04 
       1.037851229988e-02       2.292593587370e+04 
       1.050412637342e-02       2.304093733245e+04 
       1.062978211522e-02       2.315321083264e+04 
       1.075547887571e-02       2.326276920014e+04 
       1.088121605378e-02       2.336964258296e+04 
       1.100699309458e-02       2.347386312533e+04 
       1.113280948744e-02       2.357543984430e+04 
       1.125866476396e-02       2.367442084718e+04 
       1.138455849626e-02       2.377081168853e+04 
       1.151049029527e-02       2.386465035239e+04 
       1.163645980924e-02       2.395596390876e+04 
       1.176246672226e-02       2.404477182253e+04 
       1.188851075295e-02       2.413110422966e+04 
       1.201459165321e-02       2.421498095575e+04 
       1.214070920707e-02       2.429642914989e+04 
       1.226686322961e-02       2.437547071957e+04 
       1.239305356596e-02       2.445214333314e+04 
       1.251928009038e-02       2.452646180987e+04 
       1.264554270538e-02       2.459844351822e+04 
       1.277184134097e-02       2.466811517938e+04 
       1.289817595385e-02       2.473551162625e+04 
       1.302454652681e-02       2.480065340645e+04 
       1.315095306802e-02       2.486356431481e+04 
       1.327739561051e-02       2.492427575859e+04 
       1.340387421161e-02       2.498280120262e+04 
       1.353038895245e-02       2.503914853582e+04 
       1.365374112507e-02       2.509203379693e+04 
       1.365693993753e-02       2.509337737231e+04 
       1.378352729429e-02       2.514548351223e+04 
       1.391015117276e-02       2.519548929645e+04 
       1.403681174522e-02       2.524343473192e+04 
       1.416350920586e-02       2.528933277672e+04 
       1.429024377057e-02       2.533320158119e+04 
       1.441701567666e-02       2.537506115597e+04 
       1.454382518265e-02       2.541495913156e+04 
       1.467067256809e-02       2.545288976853e+04 
       1.479755813344e-02       2.548888041598e+04 
       1.492448219987e-02       2.552296211141e+04 
       1.505144510923e-02       2.555514091359e+04 
       1.517844722390e-02       2.558546673047e+04 
       1.530548892679e-02       2.561394491742e+04 
       1.543257062128e-02       2.564058449967e+04 
       1.555969273119e-02       2.566542796762e+04 
       1.568685570080e-02       2.568846933834e+04 
       1.581405999491e-02       2.570975019614e+04 
       1.594130609881e-02       2.572929698016e+04 
       1.606859451845e-02       2.574712031119e+04 
       1.619592578041e-02       2.576323876537e+04 
       1.632330043209e-02       2.577767777842e+04 
       1.645071904182e-02       2.579046012176e+04 
       1.657818219894e-02       2.580158478748e+04 
       1.670569051404e-02       2.581111694499e+04 
       1.683324461908e-02       2.581902997981e+04 
       1.696084516758e-02       2.582536420326e+04 
       1.708849283487e-02       2.583013799162e+04 
       1.721618831828e-02       2.583336966387e+04 
       1.734393233738e-02       2.583507398682e+04 
       1.747172563426e-02       2.583529509079e+04 
       1.759956897380e-02       2.583401946938e+04 
       1.772746314395e-02       2.583127875867e+04 
       1.785540895603e-02       2.582709740433e+04 
       1.798340724509e-02       2.582148989235e+04 
       1.811145887023e-02       2.581446710949e+04 
       1.823956471493e-02       2.580607021855e+04 
       1.836772568748e-02       2.579630274282e+04 
       1.849594272132e-02       2.578517577893e+04 
       1.862421677549e-02       2.577272915133e+04 
       1.875254883503e-02       2.575895482759e+04 
       1.888093991143e-02       2.574388925450e+04 
       1.900939104308e-02       2.572754718188e+04 
       1.913790329576e-02       2.570992687953e+04 
       1.926647776316e-02       2.569111443721e+04 
       1.939511556735e-02       2.567104064861e+04 
       1.952381785932e-02       2.564975716360e+04 
       1.965258581958e-02       2.562730588488e+04 
       1.978142065867e-02       2.560367844841e+04 
       1.991032361781e-02       2.557888168255e+04 
       2.003929596947e-02       2.555295131147e+04 
       2.016833901800e-02       2.552590610618e+04 
       2.029745410034e-02       2.549776998244e+04 
       2.042664258664e-02       2.546850225104e+04 
       2.055590588096e-02       2.543823260476e+04 
       2.068524542204e-02       2.540685627199e+04 
       2.081466268399e-02       2.537446479986e+04 
       2.094415917710e-02       2.534104732511e+04 
       2.107373644860e-02       2.530662678072e+04 
       2.120339608349e-02       2.527122654041e+04 
       2.133313970539e-02       2.523485261721e+04 
       2.146296897743e-02       2.519750241989e+04 
       2.159288560309e-02       2.515923737274e+04 
       2.172289132719e-02       2.512006895425e+04 
       2.185298793680e-02       2.507994594586e+04 
       2.198317726226e-02       2.503893528342e+04 
       2.211346117817e-02       2.499705323135e+04 
       2.224384160444e-02       2.495430020308e+04 
       2.237432050741e-02       2.491073507420e+04 
       2.250489990091e-02       2.486631015844e+04 
       2.263558184744e-02       2.482108385441e+04 
       2.276636845936e-02       2.477501748043e+04 
       2.289726190010e-02       2.472822555270e+04 
       2.302826438544e-02       2.468059598107e+04 
       2.315937818478e-02       2.463221650001e+04 
       2.329060562252e-02       2.458311116731e+04 
       2.342194907944e-02       2.453324324916e+04 
       2.355341099411e-02       2.448268780475e+04 
       2.368499386438e-02       2.443151792207e+04 
       2.381670024890e-02       2.437949448215e+04 
       2.394853276872e-02       2.432685649103e+04 
       2.408049410886e-02       2.427338615317e+04 
       2.421258702004e-02       2.421939588941e+04 
       2.434481432038e-02       2.416463623461e+04 
       2.447717889721e-02       2.410943189908e+04 
       2.460968370890e-02       2.405376458829e+04 
       2.474233178679e-02       2.399722516869e+04 
       2.487512623713e-02       2.394022211719e+04 
       2.500807024316e-02       2.388255462700e+04 
       2.514116706717e-02       2.382458562313e+04 
       2.527442005274e-02       2.376603230644e+04 
       2.540783262693e-02       2.370679829010e+04 
       2.554140830266e-02       2.364712098677e+04 
       2.567515068109e-02       2.358637493975e+04 
       2.580906345412e-02       2.352570242178e+04 
       2.594315040699e-02       2.346426038939e+04 
       2.607741542092e-02       2.340249742386e+04 
       2.621186247592e-02       2.334017485388e+04 
       2.634649565360e-02       2.327776397809e+04 
       2.648131914018e-02       2.321433093780e+04 
       2.661633722956e-02       2.315079669734e+04 
       2.675155432646e-02       2.308694078268e+04 
       2.688697494980e-02       2.302277764251e+04 
       2.702260373605e-02       2.295772142581e+04 
       2.715844544282e-02       2.289287036112e+04 
       2.729450495252e-02       2.282718831860e+04 
       2.743078727620e-02       2.276130724239e+04 
       2.756729755751e-02       2.269525908007e+04 
       2.770404107680e-02       2.262835059242e+04 
       2.784102325542e-02       2.256138025334e+04 
       2.797824966012e-02       2.249396613035e+04 
       2.811572600772e-02       2.242652122234e+04 
       2.825345816984e-02       2.235859198510e+04 
       2.839145217793e-02       2.229034538261e+04 
       2.852971422842e-02       2.222186077644e+04 
       2.866825068814e-02       2.215300023918e+04 
       2.880706809989e-02       2.208398149696e+04 
       2.894617318833e-02       2.201456901882e+04 
       2.908557286599e-02       2.194496173330e+04 
       2.922527423967e-02       2.187506392908e+04 
       2.936528461699e-02       2.180505939009e+04 
       2.950561151327e-02       2.173479181431e+04 
       2.964626265871e-02       2.166415538945e+04 
       2.978724600587e-02       2.159368981111e+04 
       2.992856973743e-02       2.152234987459e+04 
       3.007024227437e-02       2.145113847596e+04 
       3.021227228447e-02       2.137971241316e+04 
       3.035466869112e-02       2.130809537477e+04 
       3.049744068270e-02       2.123633331645e+04 
       3.064059772216e-02       2.116432506588e+04 
       3.078414955727e-02       2.109235784927e+04 
       3.092810623112e-02       2.101995352706e+04 
       3.107247809328e-02       2.094758486404e+04 
       3.121727581141e-02       2.087478294916e+04 
       3.136251038344e-02       2.080199629548e+04 
       3.150819315026e-02       2.072921024722e+04 
       3.165433580918e-02       2.065621205415e+04 
       3.180095042788e-02       2.058296847106e+04 
       3.194804945918e-02       2.050966328174e+04 
       3.209564575643e-02       2.043616464936e+04 
       3.224375258975e-02       2.036269719792e+04 
       3.239238366311e-02       2.028911249180e+04 
       3.254155313219e-02       2.021529292419e+04 
       3.269127562329e-02       2.014151290420e+04 
       3.284156625309e-02       2.006763057964e+04 
       3.299244064961e-02       1.999363220130e+04 
       3.314391497415e-02       1.991949994844e+04 
       3.329600594452e-02       1.984518545914e+04 
