# Matter power spectrum P(k) at redshift z=0
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       4.648495023756e+01 
       2.312703140351e-05       9.977543706123e+01 
       3.580220203963e-05       1.522331791258e+02 
       4.855352787053e-05       2.043792422378e+02 
       6.141433211936e-05       2.565170092937e+02 
       7.441875102904e-05       3.088771820678e+02 
       8.760202852808e-05       3.616589024446e+02 
       1.010008235465e-04       4.150467009714e+02 
       1.146535337898e-04       4.692192207392e+02 
       1.286006398104e-04       5.243545080082e+02 
       1.428850732267e-04       5.805684797142e+02 
       1.575526129020e-04       6.381647763525e+02 
       1.726523127585e-04       6.972856380447e+02 
       1.882369646229e-04       7.581368631807e+02 
       2.043635989836e-04       8.209368547526e+02 
       2.210940257026e-04       8.859187235395e+02 
       2.384954154191e-04       9.533323092290e+02 
       2.566409204418e-04       1.023446271595e+03 
       2.756103311382e-04       1.096550147117e+03 
       2.954907599292e-04       1.172956388413e+03 
       3.163773396783e-04       1.253002350704e+03 
       3.383739161997e-04       1.337052084928e+03 
       3.615937054699e-04       1.425497901947e+03 
       3.861598746494e-04       1.518761489029e+03 
       4.122059921309e-04       1.617294447797e+03 
       4.398762757783e-04       1.721577926779e+03 
       4.693255511264e-04       1.832121108751e+03 
       5.007188142551e-04       1.949458174437e+03 
       5.342302801493e-04       2.074143346247e+03 
       5.700417908375e-04       2.206743628641e+03 
       6.083404640704e-04       2.347828848678e+03 
       6.493154893013e-04       2.497958818027e+03 
       6.931540295049e-04       2.657667506579e+03 
       7.400362688145e-04       2.827444482608e+03 
       7.901297556666e-04       3.007714351067e+03 
       8.435833195405e-04       3.198815198210e+03 
       9.005209670199e-04       3.400977628031e+03 
       9.610362618295e-04       3.614306324311e+03 
       1.025187732878e-03       3.838765986390e+03 
       1.092995810025e-03       4.074173586618e+03 
       1.164441652253e-03       4.320197985091e+03 
       1.239468023948e-03       4.576328983077e+03 
       1.317982131218e-03       4.841985824119e+03 
       1.365374112507e-03       5.001182183558e+03 
       1.399860102217e-03       5.116482026344e+03 
       1.484952629637e-03       5.399033935745e+03 
       1.573091217505e-03       5.688803251540e+03 
       1.664094490714e-03       5.984923108357e+03 
       1.757774114867e-03       6.286519656494e+03 
       1.853940004620e-03       6.592733302985e+03 
       1.952404638443e-03       6.902733364599e+03 
       2.052986422001e-03       7.215730272480e+03 
       2.155512137086e-03       7.530984161836e+03 
       2.259818574702e-03       7.847808921283e+03 
       2.365753482517e-03       8.165576054307e+03 
       2.473175965450e-03       8.483711210001e+03 
       2.581956471182e-03       8.801698803758e+03 
       2.691976476543e-03       9.119072044803e+03 
       2.803127971240e-03       9.435414899030e+03 
       2.915312815527e-03       9.750357613160e+03 
       3.028442030286e-03       1.006357026155e+04 
       3.142435062419e-03       1.037476489161e+04 
       3.257219055803e-03       1.068368233240e+04 
       3.372728148150e-03       1.099009944043e+04 
       3.488902806543e-03       1.129381676525e+04 
       3.605689208915e-03       1.159466535589e+04 
       3.723038674752e-03       1.189249182175e+04 
       3.840907145565e-03       1.218716704161e+04 
       3.959254713861e-03       1.247857887559e+04 
       4.078045198199e-03       1.276662989039e+04 
       4.197245761236e-03       1.305124028339e+04 
       4.316826567374e-03       1.333233657914e+04 
       4.436760476516e-03       1.360986513733e+04 
       4.557022770484e-03       1.388377693016e+04 
       4.677590908857e-03       1.415402826050e+04 
       4.798444311143e-03       1.442059235244e+04 
       4.919564162495e-03       1.468344484857e+04 
       5.040933240388e-03       1.494257034258e+04 
       5.162535759947e-03       1.519795554008e+04 
       5.284357235852e-03       1.544958654316e+04 
       5.406384358951e-03       1.569746994985e+04 
       5.528604885928e-03       1.594159701415e+04 
       5.651007540563e-03       1.618197818012e+04 
       5.773581925274e-03       1.641862328230e+04 
       5.896318441787e-03       1.665153523442e+04 
       6.019208219924e-03       1.688073000893e+04 
       6.142243053592e-03       1.710622529374e+04 
       6.265415343199e-03       1.732802959412e+04 
       6.388718043770e-03       1.754616949850e+04 
       6.512144618156e-03       1.776066613293e+04 
       6.635688994790e-03       1.797153513750e+04 
       6.759345529484e-03       1.817880058793e+04 
       6.883108970869e-03       1.838249203829e+04 
       7.006974429057e-03       1.858262188938e+04 
       7.130937347233e-03       1.877922661897e+04 
       7.254993475829e-03       1.897233261331e+04 
       7.379138849064e-03       1.916196385494e+04 
       7.503369763566e-03       1.934813632949e+04 
       7.627682758903e-03       1.953090161250e+04 
       7.752074599819e-03       1.971026291852e+04 
       7.876542260001e-03       1.988624984329e+04 
       8.001082907249e-03       2.005890578473e+04 
       8.125693889895e-03       2.022826348775e+04 
       8.250372724364e-03       2.039433915180e+04 
       8.375117083770e-03       2.055715563115e+04 
       8.499924787441e-03       2.071676185478e+04 
       8.624793791300e-03       2.087317112049e+04 
       8.749722179018e-03       2.102641645796e+04 
       8.874708153873e-03       2.117652285994e+04 
       8.999750031245e-03       2.132351881508e+04 
       9.124846231701e-03       2.146745940660e+04 
       9.249995274615e-03       2.160834584653e+04 
       9.375195772273e-03       2.174621220947e+04 
       9.500446424428e-03       2.188109404319e+04 
       9.625746013265e-03       2.201300932904e+04 
       9.751093398737e-03       2.214199778239e+04 
       9.876487514253e-03       2.226808591490e+04 
       1.000192736268e-02       2.239129726036e+04 
       1.012741201262e-02       2.251166034554e+04 
       1.025294059501e-02       2.262920015157e+04 
       1.037851229988e-02       2.274396642950e+04 
       1.050412637342e-02       2.285594979272e+04 
       1.062978211522e-02       2.296520970293e+04 
       1.075547887571e-02       2.307175974312e+04 
       1.088121605378e-02       2.317563066388e+04 
       1.100699309458e-02       2.327685518137e+04 
       1.113280948744e-02       2.337544307149e+04 
       1.125866476396e-02       2.347144285101e+04 
       1.138455849626e-02       2.356486084179e+04 
       1.151049029527e-02       2.365573549959e+04 
       1.163645980924e-02       2.374409444862e+04 
       1.176246672226e-02       2.382995776513e+04 
       1.188851075295e-02       2.391335608807e+04 
       1.201459165321e-02       2.399430982868e+04 
       1.214070920707e-02       2.407284664278e+04 
       1.226686322961e-02       2.414898898190e+04 
       1.239305356596e-02       2.422277489641e+04 
       1.251928009038e-02       2.429421979278e+04 
       1.264554270538e-02       2.436334159362e+04 
       1.277184134097e-02       2.443016747284e+04 
       1.289817595385e-02       2.449473262285e+04 
       1.302454652681e-02       2.455705807909e+04 
       1.315095306802e-02       2.461716808110e+04 
       1.327739561051e-02       2.467509439163e+04 
       1.340387421161e-02       2.473085100209e+04 
       1.353038895245e-02       2.478444637828e+04 
       1.365374112507e-02       2.483466548875e+04 
       1.365693993753e-02       2.483594016279e+04 
       1.378352729429e-02       2.488532883546e+04 
       1.391015117276e-02       2.493263513222e+04 
       1.403681174522e-02       2.497789925440e+04 
       1.416350920586e-02       2.502113463068e+04 
       1.429024377057e-02       2.506235981779e+04 
       1.441701567666e-02       2.510159520298e+04 
       1.454382518265e-02       2.513888847704e+04 
       1.467067256809e-02       2.517423453807e+04 
       1.479755813344e-02       2.520766099893e+04 
       1.492448219987e-02       2.523919910664e+04 
       1.505144510923e-02       2.526885540150e+04 
       1.517844722390e-02       2.529667976288e+04 
       1.530548892679e-02       2.532267801452e+04 
       1.543257062128e-02       2.534685960234e+04 
       1.555969273119e-02       2.536926703756e+04 
       1.568685570080e-02       2.538989491524e+04 
       1.581405999491e-02       2.540878482904e+04 
       1.594130609881e-02       2.542596339261e+04 
       1.606859451845e-02       2.544144158086e+04 
       1.619592578041e-02       2.545523822069e+04 
       1.632330043209e-02       2.546737890537e+04 
       1.645071904182e-02       2.547788658544e+04 
       1.657818219894e-02       2.548676071717e+04 
       1.670569051404e-02       2.549406610401e+04 
       1.683324461908e-02       2.549977689656e+04 
       1.696084516758e-02       2.550393332930e+04 
       1.708849283487e-02       2.550655396533e+04 
       1.721618831828e-02       2.550765730242e+04 
       1.734393233738e-02       2.550725832330e+04 
       1.747172563426e-02       2.550540098544e+04 
       1.759956897380e-02       2.550207234561e+04 
       1.772746314395e-02       2.549730401132e+04 
       1.785540895603e-02       2.549112048198e+04 
       1.798340724509e-02       2.548353641933e+04 
       1.811145887023e-02       2.547456292674e+04 
       1.823956471493e-02       2.546424097023e+04 
       1.836772568748e-02       2.545257437012e+04 
       1.849594272132e-02       2.543957441321e+04 
       1.862421677549e-02       2.542528071506e+04 
       1.875254883503e-02       2.540968567792e+04 
       1.888093991143e-02       2.539282556779e+04 
       1.900939104308e-02       2.537471524184e+04 
       1.913790329576e-02       2.535535330067e+04 
       1.926647776316e-02       2.533482492808e+04 
       1.939511556735e-02       2.531306217861e+04 
       1.952381785932e-02       2.529011626389e+04 
       1.965258581958e-02       2.526602876974e+04 
       1.978142065867e-02       2.524079172215e+04 
       1.991032361781e-02       2.521441212040e+04 
       2.003929596947e-02       2.518692543600e+04 
       2.016833901800e-02       2.515835042170e+04 
       2.029745410034e-02       2.512871089182e+04 
       2.042664258664e-02       2.509796699785e+04 
       2.055590588096e-02       2.506624676156e+04 
       2.068524542204e-02       2.503344718716e+04 
       2.081466268399e-02       2.499965869222e+04 
       2.094415917710e-02       2.496487079311e+04 
       2.107373644860e-02       2.492910629360e+04 
       2.120339608349e-02       2.489238842297e+04 
       2.133313970539e-02       2.485472330551e+04 
       2.146296897743e-02       2.481610858921e+04 
       2.159288560309e-02       2.477660495248e+04 
       2.172289132719e-02       2.473622387988e+04 
       2.185298793680e-02       2.469491512634e+04 
       2.198317726226e-02       2.465274477281e+04 
       2.211346117817e-02       2.460972900132e+04 
       2.224384160444e-02       2.456586838581e+04 
       2.237432050741e-02       2.452122103750e+04 
       2.250489990091e-02       2.447574017766e+04 
       2.263558184744e-02       2.442948343437e+04 
       2.276636845936e-02       2.438241289055e+04 
       2.289726190010e-02       2.433464137521e+04 
       2.302826438544e-02       2.428605873360e+04 
       2.315937818478e-02       2.423675142767e+04 
       2.329060562252e-02       2.418674325321e+04 
       2.342194907944e-02       2.413599819944e+04 
       2.355341099411e-02       2.408459022357e+04 
       2.368499386438e-02       2.403259132254e+04 
       2.381670024890e-02       2.397976642782e+04 
       2.394853276872e-02       2.392635072081e+04 
       2.408049410886e-02       2.387213013027e+04 
       2.421258702004e-02       2.381741198532e+04 
       2.434481432038e-02       2.376195108479e+04 
       2.447717889721e-02       2.370606678383e+04 
       2.460968370890e-02       2.364974115380e+04 
       2.474233178679e-02       2.359257207369e+04 
       2.487512623713e-02       2.353496118915e+04 
       2.500807024316e-02       2.347671118944e+04 
       2.514116706717e-02       2.341817885562e+04 
       2.527442005274e-02       2.335908629223e+04 
       2.540783262693e-02       2.329933885967e+04 
       2.554140830266e-02       2.323916993876e+04 
       2.567515068109e-02       2.317796503487e+04 
       2.580906345412e-02       2.311684658480e+04 
       2.594315040699e-02       2.305498631075e+04 
       2.607741542092e-02       2.299282499000e+04 
       2.621186247592e-02       2.293012819898e+04 
       2.634649565360e-02       2.286735893036e+04 
       2.648131914018e-02       2.280359995292e+04 
       2.661633722956e-02       2.273975590618e+04 
       2.675155432646e-02       2.267561025354e+04 
       2.688697494980e-02       2.261117720338e+04 
       2.702260373605e-02       2.254588151373e+04 
       2.715844544282e-02       2.248080161464e+04 
       2.729450495252e-02       2.241492015877e+04 
       2.743078727620e-02       2.234885766000e+04 
       2.756729755751e-02       2.228264547539e+04 
       2.770404107680e-02       2.221560310339e+04 
       2.784102325542e-02       2.214851440156e+04 
       2.797824966012e-02       2.208100447709e+04 
       2.811572600772e-02       2.201347869676e+04 
       2.825345816984e-02       2.194549193148e+04 
       2.839145217793e-02       2.187720806962e+04 
       2.852971422842e-02       2.180870499938e+04 
       2.866825068814e-02       2.173984738957e+04 
       2.880706809989e-02       2.167084888150e+04 
       2.894617318833e-02       2.160147839107e+04 
       2.908557286599e-02       2.153193109585e+04 
       2.922527423967e-02       2.146211310142e+04 
       2.936528461699e-02       2.139220468752e+04 
       2.950561151327e-02       2.132205252701e+04 
       2.964626265871e-02       2.125155284869e+04 
       2.978724600587e-02       2.118123495558e+04 
       2.992856973743e-02       2.111007380672e+04 
       3.007024227437e-02       2.103905293624e+04 
       3.021227228447e-02       2.096783576334e+04 
       3.035466869112e-02       2.089644551098e+04 
       3.049744068270e-02       2.082492722742e+04 
       3.064059772216e-02       2.075318171471e+04 
       3.078414955727e-02       2.068149053920e+04 
       3.092810623112e-02       2.060938497095e+04 
       3.107247809328e-02       2.053732843503e+04 
       3.121727581141e-02       2.046486130491e+04 
       3.136251038344e-02       2.039242318212e+04 
       3.150819315026e-02       2.031999966392e+04 
       3.165433580918e-02       2.024738223359e+04 
       3.180095042788e-02       2.017453831635e+04 
       3.194804945918e-02       2.010164799296e+04 
       3.209564575643e-02       2.002858207217e+04 
       3.224375258975e-02       1.995556061623e+04 
       3.239238366311e-02       1.988243817390e+04 
       3.254155313219e-02       1.980909952870e+04 
       3.269127562329e-02       1.973581347856e+04 
       3.284156625309e-02       1.966244104778e+04 
       3.299244064961e-02       1.958896875883e+04 
       3.314391497415e-02       1.951537915107e+04 
       3.329600594452e-02       1.944162486064e+04 
