# Matter power spectrum P(k) at redshift z=0.35
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       3.271773287466e+01 
       2.312703140351e-05       7.012402772702e+01 
       3.580220203963e-05       1.069038875482e+02 
       4.855352787053e-05       1.434359680668e+02 
       6.141433211936e-05       1.799375672269e+02 
       7.441875102904e-05       2.165720576102e+02 
       8.760202852808e-05       2.534793109843e+02 
       1.010008235465e-04       2.907881995973e+02 
       1.146535337898e-04       3.286230037867e+02 
       1.286006398104e-04       3.671072916641e+02 
       1.428850732267e-04       4.063327643029e+02 
       1.575526129020e-04       4.464894945481e+02 
       1.726523127585e-04       4.876852493796e+02 
       1.882369646229e-04       5.300626844767e+02 
       2.043635989836e-04       5.737733525050e+02 
       2.210940257026e-04       6.189791974631e+02 
       2.384954154191e-04       6.658540559649e+02 
       2.566409204418e-04       7.145851680322e+02 
       2.756103311382e-04       7.653746967762e+02 
       2.954907599292e-04       8.184412358032e+02 
       3.163773396783e-04       8.740212670604e+02 
       3.383739161997e-04       9.323705119827e+02 
       3.615937054699e-04       9.937650912122e+02 
       3.861598746494e-04       1.058502385490e+03 
       4.122059921309e-04       1.126901443481e+03 
       4.398762757783e-04       1.199302762012e+03 
       4.693255511264e-04       1.276067197911e+03 
       5.007188142551e-04       1.357573773985e+03 
       5.342302801493e-04       1.444216071831e+03 
       5.700417908375e-04       1.536396942873e+03 
       6.083404640704e-04       1.634521271518e+03 
       6.493154893013e-04       1.738986646249e+03 
       6.931540295049e-04       1.850171900286e+03 
       7.400362688145e-04       1.968423768137e+03 
       7.901297556666e-04       2.094042137474e+03 
       8.435833195404e-04       2.227264732428e+03 
       9.005209670199e-04       2.368252347152e+03 
       9.610362618295e-04       2.517075973205e+03 
       1.025187732878e-03       2.673707199024e+03 
       1.092995810025e-03       2.838013042935e+03 
       1.164441652253e-03       3.009756086632e+03 
       1.239468023948e-03       3.188573226321e+03 
       1.317982131218e-03       3.374051738822e+03 
       1.365374112507e-03       3.485202712344e+03 
       1.399860102217e-03       3.565705011127e+03 
       1.484952629637e-03       3.762978973102e+03 
       1.573091217505e-03       3.965282283449e+03 
       1.664094490714e-03       4.172004101613e+03 
       1.757774114867e-03       4.382530775764e+03 
       1.853940004620e-03       4.596259279590e+03 
       1.952404638443e-03       4.812608162010e+03 
       2.052986422001e-03       5.031025546110e+03 
       2.155512137086e-03       5.250994885184e+03 
       2.259818574702e-03       5.472037754129e+03 
       2.365753482517e-03       5.693715624782e+03 
       2.473175965450e-03       5.915629973997e+03 
       2.581956471182e-03       6.137420856868e+03 
       2.691976476543e-03       6.358764868879e+03 
       2.803127971240e-03       6.579373157114e+03 
       2.915312815527e-03       6.798988871882e+03 
       3.028442030286e-03       7.017383137211e+03 
       3.142435062419e-03       7.234356215397e+03 
       3.257219055803e-03       7.449728465371e+03 
       3.372728148150e-03       7.663345368240e+03 
       3.488902806543e-03       7.875068927945e+03 
       3.605689208915e-03       8.084782511045e+03 
       3.723038674752e-03       8.292379971747e+03 
       3.840907145565e-03       8.497772481015e+03 
       3.959254713861e-03       8.700882976564e+03 
       4.078045198199e-03       8.901644604860e+03 
       4.197245761236e-03       9.100002550702e+03 
       4.316826567374e-03       9.295906695283e+03 
       4.436760476516e-03       9.489320411536e+03 
       4.557022770484e-03       9.680209580876e+03 
       4.677590908857e-03       9.868546360897e+03 
       4.798444311143e-03       1.005431201097e+04 
       4.919564162495e-03       1.023748769232e+04 
       5.040933240388e-03       1.041806355779e+04 
       5.162535759947e-03       1.059603081555e+04 
       5.284357235852e-03       1.077138277321e+04 
       5.406384358951e-03       1.094412025072e+04 
       5.528604885928e-03       1.111424013687e+04 
       5.651007540563e-03       1.128174939854e+04 
       5.773581925274e-03       1.144665484223e+04 
       5.896318441787e-03       1.160895921815e+04 
       6.019208219924e-03       1.176867479372e+04 
       6.142243053592e-03       1.192581204888e+04 
       6.265415343199e-03       1.208037922792e+04 
       6.388718043770e-03       1.223239426280e+04 
       6.512144618156e-03       1.238187213494e+04 
       6.635688994790e-03       1.252882392589e+04 
       6.759345529484e-03       1.267326664212e+04 
       6.883108970869e-03       1.281522056746e+04 
       7.006974429057e-03       1.295469337128e+04 
       7.130937347233e-03       1.309171283104e+04 
       7.254993475829e-03       1.322629586790e+04 
       7.379138849064e-03       1.335845837049e+04 
       7.503369763566e-03       1.348821291882e+04 
       7.627682758903e-03       1.361559395825e+04 
       7.752074599819e-03       1.374060710391e+04 
       7.876542260001e-03       1.386326714707e+04 
       8.001082907249e-03       1.398361257420e+04 
       8.125693889895e-03       1.410165721893e+04 
       8.250372724364e-03       1.421741843638e+04 
       8.375117083770e-03       1.433091129462e+04 
       8.499924787441e-03       1.444217028037e+04 
       8.624793791300e-03       1.455120374359e+04 
       8.749722179018e-03       1.465803362647e+04 
       8.874708153873e-03       1.476267811814e+04 
       8.999750031245e-03       1.486515801920e+04 
       9.124846231701e-03       1.496551015251e+04 
       9.249995274615e-03       1.506373590129e+04 
       9.375195772273e-03       1.515985832472e+04 
       9.500446424428e-03       1.525390091676e+04 
       9.625746013265e-03       1.534588001938e+04 
       9.751093398737e-03       1.543582168036e+04 
       9.876487514253e-03       1.552374195555e+04 
       1.000192736268e-02       1.560965684233e+04 
       1.012741201262e-02       1.569359343131e+04 
       1.025294059501e-02       1.577556606058e+04 
       1.037851229988e-02       1.585559915547e+04 
       1.050412637342e-02       1.593369899278e+04 
       1.062978211522e-02       1.600990264284e+04 
       1.075547887571e-02       1.608422535126e+04 
       1.088121605378e-02       1.615667476726e+04 
       1.100699309458e-02       1.622727676766e+04 
       1.113280948744e-02       1.629604752630e+04 
       1.125866476396e-02       1.636301543430e+04 
       1.138455849626e-02       1.642818151183e+04 
       1.151049029527e-02       1.649158074376e+04 
       1.163645980924e-02       1.655322387554e+04 
       1.176246672226e-02       1.661312415933e+04 
       1.188851075295e-02       1.667131599865e+04 
       1.201459165321e-02       1.672780100284e+04 
       1.214070920707e-02       1.678260116131e+04 
       1.226686322961e-02       1.683573641446e+04 
       1.239305356596e-02       1.688722865951e+04 
       1.251928009038e-02       1.693708667917e+04 
       1.264554270538e-02       1.698533951494e+04 
       1.277184134097e-02       1.703198699672e+04 
       1.289817595385e-02       1.707705963201e+04 
       1.302454652681e-02       1.712057136003e+04 
       1.315095306802e-02       1.716253618928e+04 
       1.327739561051e-02       1.720297678882e+04 
       1.340387421161e-02       1.724190341674e+04 
       1.353038895245e-02       1.727932298311e+04 
       1.365374112507e-02       1.731438798888e+04 
       1.365693993753e-02       1.731527843470e+04 
       1.378352729429e-02       1.734975556863e+04 
       1.391015117276e-02       1.738280479018e+04 
       1.403681174522e-02       1.741441851517e+04 
       1.416350920586e-02       1.744460877551e+04 
       1.429024377057e-02       1.747342047621e+04 
       1.441701567666e-02       1.750083705241e+04 
       1.454382518265e-02       1.752688912656e+04 
       1.467067256809e-02       1.755158700935e+04 
       1.479755813344e-02       1.757494854608e+04 
       1.492448219987e-02       1.759699012809e+04 
       1.505144510923e-02       1.761773766741e+04 
       1.517844722390e-02       1.763717769354e+04 
       1.530548892679e-02       1.765536521089e+04 
       1.543257062128e-02       1.767227887479e+04 
       1.555969273119e-02       1.768795249081e+04 
       1.568685570080e-02       1.770239361366e+04 
       1.581405999491e-02       1.771561959609e+04 
       1.594130609881e-02       1.772765106954e+04 
       1.606859451845e-02       1.773849604755e+04 
       1.619592578041e-02       1.774816412675e+04 
       1.632330043209e-02       1.775667946953e+04 
       1.645071904182e-02       1.776405639779e+04 
       1.657818219894e-02       1.777029946728e+04 
       1.670569051404e-02       1.777543128186e+04 
       1.683324461908e-02       1.777946634759e+04 
       1.696084516758e-02       1.778240881480e+04 
       1.708849283487e-02       1.778427749247e+04 
       1.721618831828e-02       1.778509901359e+04 
       1.734393233738e-02       1.778486989011e+04 
       1.747172563426e-02       1.778360882295e+04 
       1.759956897380e-02       1.778133112520e+04 
       1.772746314395e-02       1.777805344341e+04 
       1.785540895603e-02       1.777377269187e+04 
       1.798340724509e-02       1.776853603325e+04 
       1.811145887023e-02       1.776232134994e+04 
       1.823956471493e-02       1.775515839139e+04 
       1.836772568748e-02       1.774706178892e+04 
       1.849594272132e-02       1.773803116579e+04 
       1.862421677549e-02       1.772809900160e+04 
       1.875254883503e-02       1.771725951698e+04 
       1.888093991143e-02       1.770554255691e+04 
       1.900939104308e-02       1.769294615100e+04 
       1.913790329576e-02       1.767948822051e+04 
       1.926647776316e-02       1.766519201494e+04 
