# Matter power spectrum P(k) at redshift z=1
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       1.760387739455e+01 
       2.312703140351e-05       3.773018985105e+01 
       3.580220203963e-05       5.751888002007e+01 
       4.855352787053e-05       7.717338766789e+01 
       6.141433211936e-05       9.681033440860e+01 
       7.441875102904e-05       1.165173303246e+02 
       8.760202852808e-05       1.363693372732e+02 
       1.010008235465e-04       1.564353986205e+02 
       1.146535337898e-04       1.767820844828e+02 
       1.286006398104e-04       1.974755814877e+02 
       1.428850732267e-04       2.185831340421e+02 
       1.575526129020e-04       2.401741613201e+02 
       1.726523127585e-04       2.623212088977e+02 
       1.882369646229e-04       2.851008134343e+02 
       2.043635989836e-04       3.085943294759e+02 
       2.210940257026e-04       3.328887459848e+02 
       2.384954154191e-04       3.580775075601e+02 
       2.566409204418e-04       3.842613445980e+02 
       2.756103311382e-04       4.115491109886e+02 
       2.954907599292e-04       4.400586184430e+02 
       3.163773396783e-04       4.699174473542e+02 
       3.383739161997e-04       5.012637016002e+02 
       3.615937054699e-04       5.342466621587e+02 
       3.861598746494e-04       5.690272790891e+02 
       4.122059921309e-04       6.057784160523e+02 
       4.398762757783e-04       6.446847519078e+02 
       4.693255511264e-04       6.859422031809e+02 
       5.007188142551e-04       7.297567367462e+02 
       5.342302801493e-04       7.763424027083e+02 
       5.700417908375e-04       8.259184380929e+02 
       6.083404640704e-04       8.787052955269e+02 
       6.493154893013e-04       9.349195213997e+02 
       6.931540295049e-04       9.947674686303e+02 
       7.400362688145e-04       1.058437985928e+03 
       7.901297556666e-04       1.126094358761e+03 
       8.435833195404e-04       1.197865974993e+03 
       9.005209670199e-04       1.273840333841e+03 
       9.610362618295e-04       1.354056134314e+03 
       1.025187732878e-03       1.438498191649e+03 
       1.092995810025e-03       1.527094779606e+03 
       1.164441652253e-03       1.619717844038e+03 
       1.239468023948e-03       1.716171639273e+03 
       1.317982131218e-03       1.816233725537e+03 
       1.365374112507e-03       1.876204399510e+03 
       1.399860102217e-03       1.919641860930e+03 
       1.484952629637e-03       2.026097347313e+03 
       1.573091217505e-03       2.135281205762e+03 
       1.664094490714e-03       2.246863728884e+03 
       1.757774114867e-03       2.360513534719e+03 
       1.853940004620e-03       2.475904961118e+03 
       1.952404638443e-03       2.592724121319e+03 
       2.052986422001e-03       2.710673296007e+03 
       2.155512137086e-03       2.829474033036e+03 
       2.259818574702e-03       2.948868542719e+03 
       2.365753482517e-03       3.068620515315e+03 
       2.473175965450e-03       3.188515125061e+03 
       2.581956471182e-03       3.308358229483e+03 
       2.691976476543e-03       3.427975336163e+03 
       2.803127971240e-03       3.547210608026e+03 
       2.915312815527e-03       3.665925514759e+03 
       3.028442030286e-03       3.783996646074e+03 
       3.142435062419e-03       3.901316291344e+03 
       3.257219055803e-03       4.017787524271e+03 
       3.372728148150e-03       4.133326899117e+03 
       3.488902806543e-03       4.247859834818e+03 
       3.605689208915e-03       4.361323213368e+03 
       3.723038674752e-03       4.473659747193e+03 
       3.840907145565e-03       4.584821268281e+03 
       3.959254713861e-03       4.694766037985e+03 
       4.078045198199e-03       4.803457833238e+03 
       4.197245761236e-03       4.910866912079e+03 
       4.316826567374e-03       5.016965920137e+03 
       4.436760476516e-03       5.121734869923e+03 
       4.557022770484e-03       5.225155182510e+03 
       4.677590908857e-03       5.327211483180e+03 
       4.798444311143e-03       5.427893480327e+03 
       4.919564162495e-03       5.527190728284e+03 
       5.040933240388e-03       5.625097668317e+03 
       5.162535759947e-03       5.721609289422e+03 
       5.284357235852e-03       5.816720657709e+03 
       5.406384358951e-03       5.910433785878e+03 
       5.528604885928e-03       6.002745915831e+03 
       5.651007540563e-03       6.093660148742e+03 
       5.773581925274e-03       6.183180123978e+03 
       5.896318441787e-03       6.271307507997e+03 
       6.019208219924e-03       6.358048051874e+03 
       6.142243053592e-03       6.443407559194e+03 
       6.265415343199e-03       6.527392142849e+03 
       6.388718043770e-03       6.610007179996e+03 
       6.512144618156e-03       6.691262311847e+03 
       6.635688994790e-03       6.771163832022e+03 
       6.759345529484e-03       6.849720557228e+03 
       6.883108970869e-03       6.926942513889e+03 
       7.006974429057e-03       7.002833917774e+03 
       7.130937347233e-03       7.077409870858e+03 
       7.254993475829e-03       7.150678280511e+03 
       7.379138849064e-03       7.222648128247e+03 
       7.503369763566e-03       7.293325304114e+03 
       7.627682758903e-03       7.362728284234e+03 
       7.752074599819e-03       7.430860104696e+03 
       7.876542260001e-03       7.497727924860e+03 
       8.001082907249e-03       7.563353281798e+03 
       8.125693889895e-03       7.627743344892e+03 
       8.250372724364e-03       7.690906714307e+03 
       8.375117083770e-03       7.752851734796e+03 
       8.499924787441e-03       7.813596496779e+03 
       8.624793791300e-03       7.873145169110e+03 
       8.749722179018e-03       7.931509317140e+03 
       8.874708153873e-03       7.988698618051e+03 
       8.999750031245e-03       8.044723978056e+03 
       9.124846231701e-03       8.099605254872e+03 
       9.249995274615e-03       8.153343110842e+03 
       9.375195772273e-03       8.205949758441e+03 
       9.500446424428e-03       8.257438120740e+03 
       9.625746013265e-03       8.307814331474e+03 
       9.751093398737e-03       8.357094759844e+03 
       9.876487514253e-03       8.405288413932e+03 
       1.000192736268e-02       8.452401758491e+03 
       1.012741201262e-02       8.498449725351e+03 
       1.025294059501e-02       8.543439962758e+03 
       1.037851229988e-02       8.587385812283e+03 
       1.050412637342e-02       8.630289261412e+03 
       1.062978211522e-02       8.672173008672e+03 
       1.075547887571e-02       8.713041817671e+03 
       1.088121605378e-02       8.752901132492e+03 
       1.100699309458e-02       8.791764674315e+03 
       1.113280948744e-02       8.829640898080e+03 
       1.125866476396e-02       8.866545031265e+03 
       1.138455849626e-02       8.902476562299e+03 
       1.151049029527e-02       8.937456369603e+03 
       1.163645980924e-02       8.971488320469e+03 
       1.176246672226e-02       9.004579632808e+03 
       1.188851075295e-02       9.036748704625e+03 
       1.201459165321e-02       9.067996800940e+03 
       1.214070920707e-02       9.098334829325e+03 
       1.226686322961e-02       9.127774359782e+03 
       1.239305356596e-02       9.156325746018e+03 
       1.251928009038e-02       9.183994289409e+03 
       1.264554270538e-02       9.210796104977e+03 
       1.277184134097e-02       9.236731232927e+03 
       1.289817595385e-02       9.261813708206e+03 
       1.302454652681e-02       9.286053564271e+03 
       1.315095306802e-02       9.309456351694e+03 
       1.327739561051e-02       9.332034964453e+03 
       1.340387421161e-02       9.353794204989e+03 
       1.353038895245e-02       9.374738635847e+03 
       1.365374112507e-02       9.394391672771e+03 
       1.365693993753e-02       9.394891095305e+03 
       1.378352729429e-02       9.414242857002e+03 
       1.391015117276e-02       9.432822205031e+03 
       1.403681174522e-02       9.450623186280e+03 
       1.416350920586e-02       9.467655035601e+03 
       1.429024377057e-02       9.483939516810e+03 
       1.441701567666e-02       9.499468057384e+03 
       1.454382518265e-02       9.514256901924e+03 
       1.467067256809e-02       9.528312453609e+03 
       1.479755813344e-02       9.541643415768e+03 
       1.492448219987e-02       9.554257947412e+03 
       1.505144510923e-02       9.566172068872e+03 
       1.517844722390e-02       9.577375184075e+03 
       1.530548892679e-02       9.587901117332e+03 
       1.543257062128e-02       9.597734446047e+03 
       1.555969273119e-02       9.606895080229e+03 
       1.568685570080e-02       9.615386263243e+03 
       1.581405999491e-02       9.623218029905e+03 
       1.594130609881e-02       9.630401410048e+03 
       1.606859451845e-02       9.636939195612e+03 
       1.619592578041e-02       9.642838506837e+03 
       1.632330043209e-02       9.648110444046e+03 
