# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.407984739406e-10       4.562817045956e-15       3.670720065872e-13       2.654069116383e-19       8.340512763106e-09       4.727522302118e-10      -1.918311069438e-12 
    3       1.330533198246e-10       5.533886050085e-15       4.053922087010e-13       5.309073618902e-19       5.139753228897e-09       3.367183888883e-10      -1.407872603301e-12 
    4       1.256301547191e-10       4.507061292311e-15       3.733577813300e-13       8.850517500371e-19       3.570612334747e-09       2.554555240947e-10      -8.791932886931e-13 
    5       1.200474634035e-10       2.824627903537e-15       3.126495570011e-13       1.327960058883e-18       2.663716155557e-09       2.019618850058e-10      -4.515762277374e-13 
    6       1.161848621469e-10       1.504842898387e-15       2.472554370331e-13       1.859778288696e-18       2.080133164295e-09       1.644522437319e-10      -1.531549345041e-13 
    7       1.137137646278e-10       8.134176383593e-16       1.908979763688e-13       2.480675959530e-18       1.677957148614e-09       1.370076119494e-10       2.167857915460e-14 
    8       1.122292858374e-10       5.460367456317e-16       1.491743805772e-13       3.190843262114e-18       1.386980176126e-09       1.162167914987e-10       9.653956242786e-14 
    9       1.114779125104e-10       4.403548200904e-16       1.227643284602e-13       3.990487930267e-18       1.168425354265e-09       1.000089195571e-10       1.026073210040e-13 
   10       1.112878331270e-10       3.674013494733e-16       1.094870184647e-13       4.879831913792e-18       9.993070263053e-10       8.712026084647e-11       7.112722429253e-14 
   11       1.115314532866e-10       3.111638953108e-16       1.059456722885e-13       5.859107934350e-18       8.553504459455e-10       7.748479979011e-11       2.863232644992e-14 
