# Matter power spectrum P(k) at redshift z=0.5
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       2.809686578162e+01 
       2.312703140351e-05       6.021989501177e+01 
       3.580220203963e-05       9.180449923204e+01 
       4.855352787053e-05       1.231756129864e+02 
       6.141433211936e-05       1.545196025068e+02 
       7.441875102904e-05       1.859765283650e+02 
       8.760202852808e-05       2.176662671909e+02 
       1.010008235465e-04       2.496992496491e+02 
       1.146535337898e-04       2.821819632213e+02 
       1.286006398104e-04       3.152202819214e+02 
       1.428850732267e-04       3.489217692521e+02 
       1.575526129020e-04       3.833974562302e+02 
       1.726523127585e-04       4.187633574932e+02 
       1.882369646229e-04       4.551418455828e+02 
       2.043635989836e-04       4.926629642719e+02 
       2.210940257026e-04       5.314657227326e+02 
       2.384954154191e-04       5.716993951221e+02 
       2.566409204418e-04       6.135248326266e+02 
       2.756103311382e-04       6.571157834841e+02 
       2.954907599292e-04       7.026602068264e+02 
       3.163773396783e-04       7.503615444844e+02 
       3.383739161997e-04       8.004399027260e+02 
       3.615937054699e-04       8.531330718776e+02 
       3.861598746494e-04       9.086972868683e+02 
       4.122059921309e-04       9.674075970095e+02 
       4.398762757783e-04       1.029557693941e+03 
       4.693255511264e-04       1.095458984656e+03 
       5.007188142551e-04       1.165438705067e+03 
       5.342302801493e-04       1.239836808774e+03 
       5.700417908375e-04       1.319001395207e+03 
       6.083404640704e-04       1.403282446472e+03 
       6.493154893013e-04       1.493023755446e+03 
       6.931540295049e-04       1.588553007978e+03 
       7.400362688145e-04       1.690170245390e+03 
       7.901297556666e-04       1.798135118155e+03 
       8.435833195404e-04       1.912653672389e+03 
       9.005209670199e-04       2.033865625441e+03 
       9.610362618295e-04       2.161833297342e+03 
       1.025187732878e-03       2.296533384232e+03 
       1.092995810025e-03       2.437852550249e+03 
       1.164441652253e-03       2.585587589084e+03 
       1.239468023948e-03       2.739427146634e+03 
       1.317982131218e-03       2.899017117060e+03 
       1.365374112507e-03       2.994663039515e+03 
       1.399860102217e-03       3.063939743512e+03 
       1.484952629637e-03       3.233719127484e+03 
       1.573091217505e-03       3.407847168601e+03 
       1.664094490714e-03       3.585798889616e+03 
       1.757774114867e-03       3.767046839230e+03 
       1.853940004620e-03       3.951072721793e+03 
       1.952404638443e-03       4.137376840699e+03 
       2.052986422001e-03       4.325484956320e+03 
       2.155512137086e-03       4.514953185054e+03 
       2.259818574702e-03       4.705370338594e+03 
       2.365753482517e-03       4.896359412611e+03 
       2.473175965450e-03       5.087577710410e+03 
       2.581956471182e-03       5.278715652451e+03 
       2.691976476543e-03       5.469495064405e+03 
       2.803127971240e-03       5.659667476558e+03 
       2.915312815527e-03       5.849011906128e+03 
       3.028442030286e-03       6.037331360503e+03 
       3.142435062419e-03       6.224453829606e+03 
       3.257219055803e-03       6.410224525012e+03 
       3.372728148150e-03       6.594510236572e+03 
       3.488902806543e-03       6.777191956818e+03 
       3.605689208915e-03       6.958168969211e+03 
       3.723038674752e-03       7.137349878639e+03 
