# Matter power spectrum P(k) at redshift z=2
# for k=1.04952e-05 to 58.9789 h/Mpc,
# number of wavenumbers equal to 575
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.049521996540e-05       8.357024998572e+00 
       2.312703140351e-05       1.791152999358e+01 
       3.580220203963e-05       2.730578218021e+01 
       4.855352787053e-05       3.663637700580e+01 
       6.141433211936e-05       4.595869272734e+01 
       7.441875102904e-05       5.531433643271e+01 
       8.760202852808e-05       6.473891212917e+01 
       1.010008235465e-04       7.426521668613e+01 
       1.146535337898e-04       8.392487357581e+01 
       1.286006398104e-04       9.374932840300e+01 
       1.428850732267e-04       1.037682985311e+02 
       1.575526129020e-04       1.140187659230e+02 
       1.726523127585e-04       1.245333848916e+02 
       1.882369646229e-04       1.353485257530e+02 
       2.043635989836e-04       1.465028517635e+02 
       2.210940257026e-04       1.580377075761e+02 
       2.384954154191e-04       1.699975103845e+02 
       2.566409204418e-04       1.824301453873e+02 
       2.756103311382e-04       1.953873648876e+02 
       2.954907599292e-04       2.089251858521e+02 
       3.163773396783e-04       2.231042770605e+02 
       3.383739161997e-04       2.379903189175e+02 
       3.615937054699e-04       2.536543156674e+02 
       3.861598746494e-04       2.701728308558e+02 
       4.122059921309e-04       2.876281045107e+02 
       4.398762757783e-04       3.061080072438e+02 
       4.693255511264e-04       3.257057652883e+02 
       5.007188142551e-04       3.465193943482e+02 
       5.342302801493e-04       3.686507609342e+02 
       5.700417908375e-04       3.922041980943e+02 
       6.083404640704e-04       4.172846070971e+02 
       6.493154893013e-04       4.439950066222e+02 
       6.931540295049e-04       4.724335231982e+02 
       7.400362688145e-04       5.026898909068e+02 
       7.901297556666e-04       5.348415929631e+02 
       8.435833195404e-04       5.689498750378e+02 
       9.005209670199e-04       6.050559309657e+02 
       9.610362618295e-04       6.431776186970e+02 
       1.025187732878e-03       6.833070703527e+02 
       1.092995810025e-03       7.254094848232e+02 
       1.164441652253e-03       7.694233106296e+02 
       1.239468023948e-03       8.152549429356e+02 
       1.317982131218e-03       8.627982871884e+02 
       1.365374112507e-03       8.912913273448e+02 
       1.399860102217e-03       9.119285857397e+02 
       1.484952629637e-03       9.625040077748e+02 
       1.573091217505e-03       1.014373268635e+03 
       1.664094490714e-03       1.067380067581e+03 
